species,model,dataset,threshold,scaling_factor,season_start,season_end,mean_in_season,mean_out_season,ratio_mean,kendall_corr
Alnus,2025-Beta-1,Buchs,"0,92","7,0575",26.01.2024,24.02.2024,"11,1813","0,5201","0,0465","0,4708"
Alnus,2025-Beta-1,Buchs,"0,93","7,1222",26.01.2024,24.02.2024,"11,0615","0,5079","0,0459","0,4723"
Alnus,2025-Beta-1,Buchs,"0,94","7,2006",26.01.2024,24.02.2024,"10,9128","0,4927","0,0451","0,4741"
Alnus,2025-Beta-1,Buchs,"0,95","7,2952",26.01.2024,24.02.2024,"10,7333","0,4753","0,0443","0,4774"
Alnus,2025-Beta-1,Buchs,"0,96","7,411",26.01.2024,24.02.2024,"10,5411","0,4557","0,0432","0,477"
Alnus,2025-Beta-1,Buchs,"0,97","7,5558",26.01.2024,24.02.2024,"10,3055","0,4301","0,0417","0,4815"
Alnus,2025-Beta-1,Buchs,"0,98","7,7934",26.01.2024,24.02.2024,"9,9251","0,3991","0,0402","0,4829"
Alnus,2025-Beta-1,Buchs,"0,99","8,1918",26.01.2024,24.02.2024,"9,3224","0,3514","0,0377","0,4869"
Alnus,2025-Beta-1,Buchs,"0,999","9,8705",26.01.2024,24.02.2024,"7,4944","0,2215","0,0296","0,5126"
Alnus,2025-Beta-1,Buchs,"0,9999","12,2779",26.01.2024,24.02.2024,"5,7615","0,1388","0,0241","0,5152"
Alnus,2025-Beta-1,Buchs,1,"16,0573",26.01.2024,24.02.2024,"4,1396","0,082","0,0198","0,5158"
Alnus,2025-Beta-1,Buchs,1,"22,8758",26.01.2024,24.02.2024,"2,7181","0,0471","0,0173","0,5416"
Alnus,2025-Beta-1,Buchs,1,"33,0213",26.01.2024,24.02.2024,"1,7873","0,027","0,0151","0,5357"
Betula,2025-Beta-1,Buchs,0,"5,306",17.03.2024,18.04.2024,"33,7247","3,2826","0,0973","0,3417"
Betula,2025-Beta-1,Buchs,"0,2","5,306",17.03.2024,18.04.2024,"33,7247","3,2826","0,0973","0,3417"
Betula,2025-Beta-1,Buchs,"0,4","5,3294",17.03.2024,18.04.2024,"33,572","3,2372","0,0964","0,3425"
Betula,2025-Beta-1,Buchs,"0,6","5,6091",17.03.2024,18.04.2024,"31,8512","2,8903","0,0907","0,3484"
Betula,2025-Beta-1,Buchs,"0,75","5,9953",17.03.2024,18.04.2024,"29,7021","2,5361","0,0854","0,3504"
Betula,2025-Beta-1,Buchs,"0,8","6,1706",17.03.2024,18.04.2024,"28,8284","2,3991","0,0832","0,3507"
Betula,2025-Beta-1,Buchs,"0,85","6,3919",17.03.2024,18.04.2024,"27,756","2,2433","0,0808","0,3524"
Betula,2025-Beta-1,Buchs,"0,9","6,6999",17.03.2024,18.04.2024,"26,4305","2,0459","0,0774","0,3561"
Betula,2025-Beta-1,Buchs,"0,91","6,7856",17.03.2024,18.04.2024,"26,1001","2,0009","0,0767","0,3551"
