Indicator,Unit,Subgroup,Time Period,Data Value
AIDS-related deaths,Number,Females Young people (15-24) estimate,2008,36676.0
AIDS-related deaths,Number,Females Young people (15-24) estimate,2009,34922.0
AIDS-related deaths,Number,Females Young people (15-24) estimate,2010,33636.0
AIDS-related deaths,Number,Females Young people (15-24) estimate,2011,32544.0
AIDS-related deaths,Number,Females Young people (15-24) estimate,2012,31606.0
AIDS-related deaths,Number,Females Young people (15-24) estimate,2013,30481.0
AIDS-related deaths,Number,Females Young people (15-24) estimate,2014,29405.0
AIDS-related deaths,Number,Females Young people (15-24) estimate,2015,28867.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,1990,5267.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,1991,6559.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,1992,8109.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,1993,9922.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,1994,11952.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,1995,14288.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,1996,16712.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,1997,19121.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,1998,21123.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,1999,23179.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,2000,24507.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,2001,25583.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,2002,26297.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,2003,26620.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,2004,26579.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,2005,25986.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,2006,25077.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,2007,24041.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,2008,23067.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,2009,22294.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,2010,21789.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,2011,21335.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,2012,20992.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,2013,20598.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,2014,20135.0
AIDS-related deaths,Number,Females Young people (15-24) lower estimate,2015,20198.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,1990,18060.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,1991,21679.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,1992,26016.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,1993,31269.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,1994,37131.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,1995,43841.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,1996,51036.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,1997,57399.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,1998,63196.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,1999,68362.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,2000,72252.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,2001,74804.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,2002,75371.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,2003,74875.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,2004,72981.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,2005,69660.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,2006,66108.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,2007,62141.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,2008,58254.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,2009,54523.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,2010,52542.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,2011,50001.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,2012,48190.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,2013,45780.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,2014,43776.0
AIDS-related deaths,Number,Females Young people (15-24) upper estimate,2015,42317.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,1990,8320.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,1991,9921.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,1992,11943.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,1993,14354.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,1994,16919.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,1995,19512.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,1996,21437.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,1997,23037.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,1998,24312.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,1999,25133.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,2000,25656.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,2001,26023.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,2002,26191.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,2003,26200.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,2004,26042.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,2005,25600.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,2006,25018.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,2007,24478.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,2008,23899.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,2009,23543.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,2010,23619.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,2011,24088.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,2012,24799.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,2013,25459.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,2014,25691.0
AIDS-related deaths,Number,Males Young people (15-24) estimate,2015,25685.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,1990,4488.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,1991,5431.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,1992,6644.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,1993,8076.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,1994,9551.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,1995,11025.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,1996,12210.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,1997,13204.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,1998,13845.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,1999,14477.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,2000,14719.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,2001,14990.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,2002,15216.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,2003,15387.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,2004,15515.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,2005,15479.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,2006,15314.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,2007,15142.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,2008,15031.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,2009,15030.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,2010,15300.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,2011,15791.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,2012,16470.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,2013,17204.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,2014,17592.0
AIDS-related deaths,Number,Males Young people (15-24) lower estimate,2015,17972.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,1990,15387.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,1991,17951.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,1992,21315.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,1993,25450.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,1994,29671.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,1995,33830.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,1996,37290.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,1997,39637.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,1998,41421.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,1999,42696.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,2000,43396.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,2001,43831.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,2002,43610.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,2003,43279.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,2004,42600.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,2005,41493.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,2006,40370.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,2007,39139.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,2008,37960.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,2009,36758.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,2010,36894.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,2011,37010.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,2012,37810.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,2013,38239.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,2014,38246.0
AIDS-related deaths,Number,Males Young people (15-24) upper estimate,2015,37652.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,1990,18085.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,1991,21899.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,1992,26518.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,1993,31980.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,1994,38094.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,1995,44797.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,1996,50774.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,1997,56389.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,1998,61403.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,1999,65360.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,2000,68386.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,2001,70443.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,2002,71469.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,2003,71516.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,2004,70651.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,2005,68574.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,2006,65985.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,2007,63341.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,2008,60569.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,2009,58470.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,2010,57251.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,2011,56632.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,2012,56404.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,2013,55931.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,2014,55093.0
AIDS-related deaths,Number,All sexes Young people (15-24) estimate,2015,54559.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,1990,9756.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,1991,11990.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,1992,14752.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,1993,17992.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,1994,21504.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,1995,25313.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,1996,28920.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,1997,32321.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,1998,34967.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,1999,37648.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,2000,39234.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,2001,40578.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,2002,41520.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,2003,42000.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,2004,42091.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,2005,41462.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,2006,40390.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,2007,39183.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,2008,38094.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,2009,37326.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,2010,37086.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,2011,37125.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,2012,37461.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,2013,37796.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,2014,37725.0
AIDS-related deaths,Number,All sexes Young people (15-24) lower estimate,2015,38174.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,1990,33449.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,1991,39625.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,1992,47328.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,1993,56702.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,1994,66808.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,1995,77671.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,1996,88321.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,1997,97024.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,1998,104614.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,1999,111035.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,2000,115670.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,2001,118650.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,2002,119000.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,2003,118136.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,2004,115574.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,2005,111147.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,2006,106475.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,2007,101279.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,2008,96205.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,2009,91289.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,2010,89431.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,2011,87010.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,2012,85999.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,2013,84006.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,2014,82018.0
AIDS-related deaths,Number,All sexes Young people (15-24) upper estimate,2015,79979.0
AIDS-related deaths,Number,Adults (15+) estimate,1999,1161590.0
AIDS-related deaths,Number,Adults (15+) estimate,2000,1300800.0
AIDS-related deaths,Number,Adults (15+) estimate,2001,1440170.0
AIDS-related deaths,Number,Adults (15+) estimate,2002,1563810.0
AIDS-related deaths,Number,Adults (15+) estimate,2003,1665860.0
AIDS-related deaths,Number,Adults (15+) estimate,2004,1732930.0
AIDS-related deaths,Number,Adults (15+) estimate,2005,1738810.0
AIDS-related deaths,Number,Adults (15+) estimate,2006,1699700.0
AIDS-related deaths,Number,Adults (15+) estimate,2007,1618110.0
AIDS-related deaths,Number,Adults (15+) estimate,2008,1500200.0
AIDS-related deaths,Number,Adults (15+) estimate,2009,1389050.0
AIDS-related deaths,Number,Adults (15+) estimate,2010,1311170.0
AIDS-related deaths,Number,Adults (15+) estimate,2011,1272120.0
AIDS-related deaths,Number,Adults (15+) estimate,2012,1216700.0
AIDS-related deaths,Number,Adults (15+) estimate,2013,1131940.0
AIDS-related deaths,Number,Adults (15+) estimate,2014,1051090.0
AIDS-related deaths,Number,Adults (15+) estimate,2015,1002000.0
AIDS-related deaths,Number,Adults (15+) lower estimate,1990,184848.0
AIDS-related deaths,Number,Adults (15+) lower estimate,1991,237200.0
AIDS-related deaths,Number,Adults (15+) lower estimate,1992,300824.0
AIDS-related deaths,Number,Adults (15+) lower estimate,1993,374738.0
AIDS-related deaths,Number,Adults (15+) lower estimate,1994,459729.0
AIDS-related deaths,Number,Adults (15+) lower estimate,1995,556135.0
AIDS-related deaths,Number,Adults (15+) lower estimate,1996,626718.0
AIDS-related deaths,Number,Adults (15+) lower estimate,1997,723070.0
AIDS-related deaths,Number,Adults (15+) lower estimate,1998,841800.0
AIDS-related deaths,Number,Adults (15+) lower estimate,1999,959590.0
AIDS-related deaths,Number,Adults (15+) lower estimate,2000,1084330.0
AIDS-related deaths,Number,Adults (15+) lower estimate,2001,1208240.0
AIDS-related deaths,Number,Adults (15+) lower estimate,2002,1325610.0
AIDS-related deaths,Number,Adults (15+) lower estimate,2003,1420280.0
AIDS-related deaths,Number,Adults (15+) lower estimate,2004,1489710.0
AIDS-related deaths,Number,Adults (15+) lower estimate,2005,1501280.0
AIDS-related deaths,Number,Adults (15+) lower estimate,2006,1472450.0
AIDS-related deaths,Number,Adults (15+) lower estimate,2007,1408590.0
AIDS-related deaths,Number,Adults (15+) lower estimate,2008,1306000.0
AIDS-related deaths,Number,Adults (15+) lower estimate,2009,1207310.0
AIDS-related deaths,Number,Adults (15+) lower estimate,2010,1134410.0
AIDS-related deaths,Number,Adults (15+) lower estimate,2011,1094600.0
AIDS-related deaths,Number,Adults (15+) lower estimate,2012,1046080.0
AIDS-related deaths,Number,Adults (15+) lower estimate,2013,967878.0
AIDS-related deaths,Number,Adults (15+) lower estimate,2014,892912.0
AIDS-related deaths,Number,Adults (15+) lower estimate,2015,844969.0
AIDS-related deaths,Number,Adults (15+) upper estimate,1990,321726.0
AIDS-related deaths,Number,Adults (15+) upper estimate,1991,399801.0
AIDS-related deaths,Number,Adults (15+) upper estimate,1992,491874.0
AIDS-related deaths,Number,Adults (15+) upper estimate,1993,595909.0
AIDS-related deaths,Number,Adults (15+) upper estimate,1994,715275.0
AIDS-related deaths,Number,Adults (15+) upper estimate,1995,845793.0
AIDS-related deaths,Number,Adults (15+) upper estimate,1996,946201.0
AIDS-related deaths,Number,Adults (15+) upper estimate,1997,1080280.0
AIDS-related deaths,Number,Adults (15+) upper estimate,1998,1236560.0
AIDS-related deaths,Number,Adults (15+) upper estimate,1999,1387480.0
AIDS-related deaths,Number,Adults (15+) upper estimate,2000,1541260.0
AIDS-related deaths,Number,Adults (15+) upper estimate,2001,1691860.0
AIDS-related deaths,Number,Adults (15+) upper estimate,2002,1819880.0
AIDS-related deaths,Number,Adults (15+) upper estimate,2003,1922900.0
AIDS-related deaths,Number,Adults (15+) upper estimate,2004,1990790.0
AIDS-related deaths,Number,Adults (15+) upper estimate,2005,1988870.0
AIDS-related deaths,Number,Adults (15+) upper estimate,2006,1942660.0
AIDS-related deaths,Number,Adults (15+) upper estimate,2007,1842290.0
AIDS-related deaths,Number,Adults (15+) upper estimate,2008,1712910.0
AIDS-related deaths,Number,Adults (15+) upper estimate,2009,1589690.0
AIDS-related deaths,Number,Adults (15+) upper estimate,2010,1504880.0
AIDS-related deaths,Number,Adults (15+) upper estimate,2011,1463440.0
AIDS-related deaths,Number,Adults (15+) upper estimate,2012,1403570.0
AIDS-related deaths,Number,Adults (15+) upper estimate,2013,1314330.0
AIDS-related deaths,Number,Adults (15+) upper estimate,2014,1230790.0
AIDS-related deaths,Number,Adults (15+) upper estimate,2015,1181630.0
AIDS-related deaths,Number,All ages estimate,1990,309724.0
AIDS-related deaths,Number,All ages estimate,1991,389895.0
AIDS-related deaths,Number,All ages estimate,1992,482613.0
AIDS-related deaths,Number,All ages estimate,1993,588455.0
AIDS-related deaths,Number,All ages estimate,1994,707841.0
AIDS-related deaths,Number,All ages estimate,1995,841293.0
AIDS-related deaths,Number,All ages estimate,1996,947644.0
AIDS-related deaths,Number,All ages estimate,1997,1083510.0
AIDS-related deaths,Number,All ages estimate,1998,1239680.0
AIDS-related deaths,Number,All ages estimate,1999,1390000.0
AIDS-related deaths,Number,All ages estimate,2000,1543750.0
AIDS-related deaths,Number,All ages estimate,2001,1694920.0
AIDS-related deaths,Number,All ages estimate,2002,1827030.0
AIDS-related deaths,Number,All ages estimate,2003,1933700.0
AIDS-related deaths,Number,All ages estimate,2004,2001200.0
AIDS-related deaths,Number,All ages estimate,2005,2003130.0
AIDS-related deaths,Number,All ages estimate,2006,1955980.0
AIDS-related deaths,Number,All ages estimate,2007,1860930.0
AIDS-related deaths,Number,All ages estimate,2008,1726140.0
AIDS-related deaths,Number,All ages estimate,2009,1599230.0
AIDS-related deaths,Number,All ages estimate,2010,1499420.0
AIDS-related deaths,Number,All ages estimate,2011,1442120.0
AIDS-related deaths,Number,All ages estimate,2012,1368970.0
AIDS-related deaths,Number,All ages estimate,2013,1267390.0
AIDS-related deaths,Number,All ages estimate,2014,1170330.0
AIDS-related deaths,Number,All ages estimate,2015,1107610.0
AIDS-related deaths,Number,All ages lower estimate,1990,240568.0
AIDS-related deaths,Number,All ages lower estimate,1991,305849.0
AIDS-related deaths,Number,All ages lower estimate,1992,383618.0
AIDS-related deaths,Number,All ages lower estimate,1993,474479.0
AIDS-related deaths,Number,All ages lower estimate,1994,574885.0
AIDS-related deaths,Number,All ages lower estimate,1995,690293.0
AIDS-related deaths,Number,All ages lower estimate,1996,777466.0
AIDS-related deaths,Number,All ages lower estimate,1997,893594.0
AIDS-related deaths,Number,All ages lower estimate,1998,1028210.0
AIDS-related deaths,Number,All ages lower estimate,1999,1161800.0
AIDS-related deaths,Number,All ages lower estimate,2000,1299150.0
AIDS-related deaths,Number,All ages lower estimate,2001,1441200.0
AIDS-related deaths,Number,All ages lower estimate,2002,1559830.0
AIDS-related deaths,Number,All ages lower estimate,2003,1662360.0
AIDS-related deaths,Number,All ages lower estimate,2004,1732300.0
AIDS-related deaths,Number,All ages lower estimate,2005,1742180.0
AIDS-related deaths,Number,All ages lower estimate,2006,1706440.0
AIDS-related deaths,Number,All ages lower estimate,2007,1630080.0
AIDS-related deaths,Number,All ages lower estimate,2008,1509740.0
AIDS-related deaths,Number,All ages lower estimate,2009,1393510.0
AIDS-related deaths,Number,All ages lower estimate,2010,1300070.0
AIDS-related deaths,Number,All ages lower estimate,2011,1244500.0
AIDS-related deaths,Number,All ages lower estimate,2012,1185650.0
AIDS-related deaths,Number,All ages lower estimate,2013,1084310.0
AIDS-related deaths,Number,All ages lower estimate,2014,994528.0
AIDS-related deaths,Number,All ages lower estimate,2015,936089.0
AIDS-related deaths,Number,All ages upper estimate,1990,399834.0
AIDS-related deaths,Number,All ages upper estimate,1991,498261.0
AIDS-related deaths,Number,All ages upper estimate,1992,609009.0
AIDS-related deaths,Number,All ages upper estimate,1993,734727.0
AIDS-related deaths,Number,All ages upper estimate,1994,871028.0
AIDS-related deaths,Number,All ages upper estimate,1995,1021190.0
AIDS-related deaths,Number,All ages upper estimate,1996,1143470.0
AIDS-related deaths,Number,All ages upper estimate,1997,1300980.0
AIDS-related deaths,Number,All ages upper estimate,1998,1474530.0
AIDS-related deaths,Number,All ages upper estimate,1999,1640920.0
AIDS-related deaths,Number,All ages upper estimate,2000,1810140.0
AIDS-related deaths,Number,All ages upper estimate,2001,1974800.0
AIDS-related deaths,Number,All ages upper estimate,2002,2111060.0
AIDS-related deaths,Number,All ages upper estimate,2003,2219440.0
AIDS-related deaths,Number,All ages upper estimate,2004,2294360.0
AIDS-related deaths,Number,All ages upper estimate,2005,2285030.0
AIDS-related deaths,Number,All ages upper estimate,2006,2222060.0
AIDS-related deaths,Number,All ages upper estimate,2007,2113030.0
AIDS-related deaths,Number,All ages upper estimate,2008,1960210.0
AIDS-related deaths,Number,All ages upper estimate,2009,1819300.0
AIDS-related deaths,Number,All ages upper estimate,2010,1710710.0
AIDS-related deaths,Number,All ages upper estimate,2011,1653580.0
AIDS-related deaths,Number,All ages upper estimate,2012,1580130.0
AIDS-related deaths,Number,All ages upper estimate,2013,1475820.0
AIDS-related deaths,Number,All ages upper estimate,2014,1375060.0
AIDS-related deaths,Number,All ages upper estimate,2015,1314760.0
AIDS-related deaths,Number,Children (0-14) estimate,1990,65351.9
AIDS-related deaths,Number,Children (0-14) estimate,1991,80240.5
AIDS-related deaths,Number,Children (0-14) estimate,1992,96660.9
AIDS-related deaths,Number,Children (0-14) estimate,1993,114246.0
AIDS-related deaths,Number,Children (0-14) estimate,1994,133086.0
AIDS-related deaths,Number,Children (0-14) estimate,1995,153146.0
AIDS-related deaths,Number,Children (0-14) estimate,1996,173613.0
AIDS-related deaths,Number,Children (0-14) estimate,1997,193409.0
AIDS-related deaths,Number,Children (0-14) estimate,1998,211923.0
AIDS-related deaths,Number,Children (0-14) estimate,1999,228399.0
AIDS-related deaths,Number,Children (0-14) estimate,2000,242940.0
AIDS-related deaths,Number,Children (0-14) estimate,2001,254746.0
AIDS-related deaths,Number,Children (0-14) estimate,2002,263221.0
AIDS-related deaths,Number,Children (0-14) estimate,2003,267837.0
AIDS-related deaths,Number,Children (0-14) estimate,2004,268261.0
AIDS-related deaths,Number,Children (0-14) estimate,2005,264302.0
AIDS-related deaths,Number,Children (0-14) estimate,2006,256284.0
AIDS-related deaths,Number,Children (0-14) estimate,2007,242821.0
AIDS-related deaths,Number,Children (0-14) estimate,2008,225943.0
AIDS-related deaths,Number,Children (0-14) estimate,2009,210183.0
AIDS-related deaths,Number,Children (0-14) estimate,2010,188252.0
AIDS-related deaths,Number,Children (0-14) estimate,2011,170001.0
AIDS-related deaths,Number,Children (0-14) estimate,2012,152268.0
AIDS-related deaths,Number,Children (0-14) estimate,2013,135442.0
AIDS-related deaths,Number,Children (0-14) estimate,2014,119231.0
AIDS-related deaths,Number,Children (0-14) estimate,2015,105603.0
AIDS-related deaths,Number,Children (0-14) lower estimate,1990,54979.2
AIDS-related deaths,Number,Children (0-14) lower estimate,1991,68026.2
AIDS-related deaths,Number,Children (0-14) lower estimate,1992,81927.1
AIDS-related deaths,Number,Children (0-14) lower estimate,1993,97832.2
AIDS-related deaths,Number,Children (0-14) lower estimate,1994,114321.0
AIDS-related deaths,Number,Children (0-14) lower estimate,1995,132990.0
AIDS-related deaths,Number,Children (0-14) lower estimate,1996,151294.0
AIDS-related deaths,Number,Children (0-14) lower estimate,1997,168120.0
AIDS-related deaths,Number,Children (0-14) lower estimate,1998,185510.0
AIDS-related deaths,Number,Children (0-14) lower estimate,1999,200170.0
AIDS-related deaths,Number,Children (0-14) lower estimate,2000,212234.0
AIDS-related deaths,Number,Children (0-14) lower estimate,2001,225121.0
