Name,Year,Teams,Total Posts,Total Comments,Total Scores,Avg Sentiment (TextBlob),Avg Sentiment (Vader),Viewers (Millions),combined_text,clean_text
2016 Stanley Cup Finals Game 2,2016,"Pittsburgh Penguins, San Jose Sharks",17,32,64,-0.0003276312936556,0.2538764705882353,4.081,"2016 Stanley Cup Finals Game 2 Pittsburgh Penguins, San Jose Sharks",stanley cup final game pittsburgh penguin san jose shark
2016 Stanley Cup Finals Game 3,2016,"Pittsburgh Penguins, San Jose Sharks",5,28,44,-0.344047619047619,0.0157399999999999,2.507,"2016 Stanley Cup Finals Game 3 Pittsburgh Penguins, San Jose Sharks",stanley cup final game pittsburgh penguin san jose shark
2016 Stanley Cup Finals Game 4,2016,"Pittsburgh Penguins, San Jose Sharks",9,29,244,-0.0764309764309764,0.0218333333333333,2.789,"2016 Stanley Cup Finals Game 4 Pittsburgh Penguins, San Jose Sharks",stanley cup final game pittsburgh penguin san jose shark
2016 Stanley Cup Finals Game 5,2016,"Pittsburgh Penguins, San Jose Sharks",5,40,11,0.2028194738078459,0.4906799999999999,4.234,"2016 Stanley Cup Finals Game 5 Pittsburgh Penguins, San Jose Sharks",stanley cup final game pittsburgh penguin san jose shark
2016 Stanley Cup Finals Game 6,2016,"Pittsburgh Penguins, San Jose Sharks",7,0,8,-0.0859307359307359,0.0837,5.009,"2016 Stanley Cup Finals Game 6 Pittsburgh Penguins, San Jose Sharks",stanley cup final game pittsburgh penguin san jose shark
2017 Stanley Cup Finals Game 1,2017,"Pittsburgh Penguins, Nashville Predators",11,68,265,0.0350059031877213,0.1113909090909091,4.668,"2017 Stanley Cup Finals Game 1 Pittsburgh Penguins, Nashville Predators",stanley cup final game pittsburgh penguin nashville predator
2017 Stanley Cup Finals Game 2,2017,"Pittsburgh Penguins, Nashville Predators",15,217,298,-0.0401738015071348,-0.0420266666666666,4.854,"2017 Stanley Cup Finals Game 2 Pittsburgh Penguins, Nashville Predators",stanley cup final game pittsburgh penguin nashville predator
2017 Stanley Cup Finals Game 3,2017,"Pittsburgh Penguins, Nashville Predators",9,52,103,-0.172053872053872,0.0515444444444444,3.18,"2017 Stanley Cup Finals Game 3 Pittsburgh Penguins, Nashville Predators",stanley cup final game pittsburgh penguin nashville predator
2017 Stanley Cup Finals Game 4,2017,"Pittsburgh Penguins, Nashville Predators",7,78,417,0.2177655677655677,0.1835285714285714,2.953,"2017 Stanley Cup Finals Game 4 Pittsburgh Penguins, Nashville Predators",stanley cup final game pittsburgh penguin nashville predator
2017 Stanley Cup Finals Game 5,2017,"Pittsburgh Penguins, Nashville Predators",12,58,152,0.0674957959430615,0.0133499999999999,5.654,"2017 Stanley Cup Finals Game 5 Pittsburgh Penguins, Nashville Predators",stanley cup final game pittsburgh penguin nashville predator
2017 Stanley Cup Finals Game 6,2017,"Pittsburgh Penguins, Nashville Predators",10,94,103,-0.0637585227272727,0.32524,6.985,"2017 Stanley Cup Finals Game 6 Pittsburgh Penguins, Nashville Predators",stanley cup final game pittsburgh penguin nashville predator
2018 Stanley Cup Finals Game 1,2018,"Washington Capitals, Vegas Golden Knights",14,42,424,0.0399350649350649,0.1445714285714285,5.195,"2018 Stanley Cup Finals Game 1 Washington Capitals, Vegas Golden Knights",stanley cup final game washington capital vega golden knight
2018 Stanley Cup Finals Game 2,2018,"Washington Capitals, Vegas Golden Knights",24,108,574,0.0715323811026935,0.1472958333333333,3.648,"2018 Stanley Cup Finals Game 2 Washington Capitals, Vegas Golden Knights",stanley cup final game washington capital vega golden knight
2018 Stanley Cup Finals Game 3,2018,"Washington Capitals, Vegas Golden Knights",8,111,455,-0.0023674242424242,0.18845,3.439,"2018 Stanley Cup Finals Game 3 Washington Capitals, Vegas Golden Knights",stanley cup final game washington capital vega golden knight
2018 Stanley Cup Finals Game 4,2018,"Washington Capitals, Vegas Golden Knights",10,55,105,0.038050505050505,0.2753299999999999,5.061,"2018 Stanley Cup Finals Game 4 Washington Capitals, Vegas Golden Knights",stanley cup final game washington capital vega golden knight
2018 Stanley Cup Finals Game 5,2018,"Washington Capitals, Vegas Golden Knights",6,72,67,0.2179229797979798,0.38375,6.588,"2018 Stanley Cup Finals Game 5 Washington Capitals, Vegas Golden Knights",stanley cup final game washington capital vega golden knight
2019 Stanley Cup Finals Game 1,2019,"St. Louis Blues, Boston Bruins",9,61,133,0.1068055555555555,0.2564444444444445,5.333,"2019 Stanley Cup Finals Game 1 St. Louis Blues, Boston Bruins",stanley cup final game st louis blue boston bruin
2019 Stanley Cup Finals Game 2,2019,"St. Louis Blues, Boston Bruins",16,177,414,0.0920698051948051,0.27464375,5.251,"2019 Stanley Cup Finals Game 2 St. Louis Blues, Boston Bruins",stanley cup final game st louis blue boston bruin
2019 Stanley Cup Finals Game 3,2019,"St. Louis Blues, Boston Bruins",8,179,602,0.0406259018759018,0.2951749999999999,3.386,"2019 Stanley Cup Finals Game 3 St. Louis Blues, Boston Bruins",stanley cup final game st louis blue boston bruin
2019 Stanley Cup Finals Game 4,2019,"St. Louis Blues, Boston Bruins",8,141,544,0.00625,-0.0315749999999999,2.93,"2019 Stanley Cup Finals Game 4 St. Louis Blues, Boston Bruins",stanley cup final game st louis blue boston bruin
2019 Stanley Cup Finals Game 5,2019,"St. Louis Blues, Boston Bruins",8,12,156,0.0546874999999999,0.1210375,5.128,"2019 Stanley Cup Finals Game 5 St. Louis Blues, Boston Bruins",stanley cup final game st louis blue boston bruin
2019 Stanley Cup Finals Game 6,2019,"St. Louis Blues, Boston Bruins",11,47,66,0.1431818181818182,0.0453454545454545,5.443,"2019 Stanley Cup Finals Game 6 St. Louis Blues, Boston Bruins",stanley cup final game st louis blue boston bruin
2019 Stanley Cup Finals Game 7,2019,"St. Louis Blues, Boston Bruins",13,112,263,0.0460662069412069,0.4063461538461538,8.723,"2019 Stanley Cup Finals Game 7 St. Louis Blues, Boston Bruins",stanley cup final game st louis blue boston bruin
