name,brandName,comparisonPriceUnit,urlSlugText,productConcreteSku,usaSnapEligible,formattedPrice,preFormattedUnitContent,categoryName,categoryKey,mainCategoryName,mainCategoryKey,text,cluster
"White Zin Rosé Wine, 750 ml",Winking Owl,ml,winking-owl-white-zin-ros-wine-750-ml,966,False,$3.45,,Rose Wine,26,Alcohol,1,"White Zin Rosé Wine, 750 ml Winking Owl ml winking-owl-white-zin-ros-wine-750-ml $3.45 Rose Wine Alcohol",1
"Rosé Wine, 750 ml",Bear Bros.,ml,bear-bros-ros-wine-750-ml,24878,False,$7.99,,Rose Wine,26,Alcohol,1,"Rosé Wine, 750 ml Bear Bros. ml bear-bros-ros-wine-750-ml $7.99 Rose Wine Alcohol",1
"Mid Cotes de Provence  Rose Wine, 750 ml",Specially Selected,ml,specially-selected-cotes-de-provence-rose,38794,False,$9.99,,Rose Wine,26,Alcohol,1,"Mid Cotes de Provence  Rose Wine, 750 ml Specially Selected ml specially-selected-cotes-de-provence-rose $9.99 Rose Wine Alcohol",1
"Organic French Rosé, 750 mL",Florility,ml,florility-organic-rose,44506,False,$7.99,,Rose Wine,26,Alcohol,1,"Organic French Rosé, 750 mL Florility ml florility-organic-rose $7.99 Rose Wine Alcohol",1
"Organics Apple Sweet Potato Baby Food Puree, 4 oz",Little Journey,oz,little-journey-apple-sweet-potato-baby-food-puree-4-oz,177,True,$0.95,,Baby Items,5,Baby Items,5,"Organics Apple Sweet Potato Baby Food Puree, 4 oz Little Journey oz little-journey-apple-sweet-potato-baby-food-puree-4-oz $0.95 Baby Items Baby Items",3
"Apple Broccoli Pear Baby Food Puree, 4 oz",Little Journey,oz,little-journey-apple-broccoli-pear-baby-food-puree-4-oz,179,True,$0.95,,Baby Items,5,Baby Items,5,"Apple Broccoli Pear Baby Food Puree, 4 oz Little Journey oz little-journey-apple-broccoli-pear-baby-food-puree-4-oz $0.95 Baby Items Baby Items",3
"Organics Apple Peach Banana with Yogurt Baby Food Puree, 4 oz",Little Journey,oz,little-journey-apple-banana-peach-yogurt,244,True,$0.95,,Baby Items,5,Baby Items,5,"Organics Apple Peach Banana with Yogurt Baby Food Puree, 4 oz Little Journey oz little-journey-apple-banana-peach-yogurt $0.95 Baby Items Baby Items",3
"Organics Apple Mango Baby Food Puree, 4 oz",Little Journey,oz,little-journey-apple-mango-baby-food-puree,295,True,$0.95,,Baby Items,5,Baby Items,5,"Organics Apple Mango Baby Food Puree, 4 oz Little Journey oz little-journey-apple-mango-baby-food-puree $0.95 Baby Items Baby Items",3
"Apple Banana Raspberry Yogurt Baby Food Puree, 4 oz",Little Journey,oz,little-journey-organics-apple-banana-raspberry-yogurt-baby-food-puree-4-oz,301,True,$0.95,,Baby Items,5,Baby Items,5,"Apple Banana Raspberry Yogurt Baby Food Puree, 4 oz Little Journey oz little-journey-organics-apple-banana-raspberry-yogurt-baby-food-puree-4-oz $0.95 Baby Items Baby Items",3
"Organic Pear Blueberry Spinach Puree, 4 oz",Little Journey,oz,little-journey-organic-pear-blueberry-spinach-puree-4oz,434,True,$0.95,,Baby Items,5,Baby Items,5,"Organic Pear Blueberry Spinach Puree, 4 oz Little Journey oz little-journey-organic-pear-blueberry-spinach-puree-4oz $0.95 Baby Items Baby Items",3
"Sensitive Baby Wipes, 192 count",Little Journey,ct,little-journey-sensitive-baby-wipes-192-count,497,False,$6.39,,Baby Items,5,Baby Items,5,"Sensitive Baby Wipes, 192 count Little Journey ct little-journey-sensitive-baby-wipes-192-count $6.39 Baby Items Baby Items",3
