Record Name,Width,Height,Area (Width x Height)
a549,365.0,0.0063868033315068,2.331183216
abnorm,365.0,0.005669858389041,2.069498312
alanin,365.0,0.0055145937561643,2.012826721
aminotransferas,365.0,0.005522525279452,2.015721727
antiprolif,365.0,0.0051688052465753,1.886613915
asthma,365.0,0.0063883737424657,2.331756416
biochemistri,365.0,0.0067324480876712,2.457343552
blackwel,365.0,0.0044809662657534,1.635552687
blot,365.0,0.0069055753150684,2.52053499
cat,365.0,0.0050021435835616,1.825782408
chaetomium,365.0,0.0041389023917808,1.510699373
cholera,365.0,0.0062143288136986,2.268230017
cofactor,365.0,0.0039589914273972,1.445031871
compromis,365.0,0.0069103664767123,2.522283764
concert,365.0,0.0050021435835616,1.825782408
contrast,365.0,0.0050566472410958,1.845676243
creation,365.0,0.0050021435835616,1.825782408
crystallographi,365.0,0.0039589914273972,1.445031871
cytotox,365.0,0.0041128479013698,1.501189484
depict,365.0,0.0039112566849315,1.42760869
depolar,365.0,0.0048242649917808,1.7608567219999998
destabil,365.0,0.0053464331123287,1.951448086
devic,365.0,0.0039112566849315,1.42760869
dichroism,365.0,0.0039112566849315,1.42760869
dimens,365.0,0.0046448374246575,1.6953656600000002
dion,365.0,0.0041389023917808,1.510699373
district,365.0,0.0048088674931506,1.755236635
eastern,365.0,0.0041200630054794,1.503822997
effector,365.0,0.0055026844904109,2.008479839
electromagnet,365.0,0.0039589914273972,1.445031871
entiti,365.0,0.0051688052465753,1.886613915
event,365.0,0.007791181109589,2.843781105
fas,365.0,0.005522525279452,2.015721727
feder,365.0,0.0055145937561643,2.012826721
frequenc,365.0,0.0043866827178082,1.601139192
fusion,365.0,0.0048088674931506,1.755236635
glial,365.0,0.0051688052465753,1.886613915
half,365.0,0.0048088674931506,1.755236635
head,365.0,0.0041200630054794,1.503822997
hek293,365.0,0.0039589914273972,1.445031871
himach,365.0,0.005522525279452,2.015721727
histon,365.0,0.0100907718082191,3.68313171
hypothes,365.0,0.0076159207232876,2.779811064
irrevers,365.0,0.0051688052465753,1.886613915
kit,365.0,0.0058678020630136,2.141747753
label,365.0,0.0108123762684931,3.946517338000001
lake,365.0,0.004301295789041,1.569972963
meiosi,365.0,0.0048242649917808,1.7608567219999998
morbid,365.0,0.0041200630054794,1.503822997
mycobacteria,365.0,0.004301295789041,1.569972963
nhej,365.0,0.0041389023917808,1.510699373
organell,365.0,0.0044638420684931,1.629302355
oxidas,365.0,0.0039112566849315,1.42760869
penetr,365.0,0.0044638420684931,1.629302355
pigmentosa,365.0,0.0041389023917808,1.510699373
pla,365.0,0.0041389023917808,1.510699373
pradesh,365.0,0.0072566490547945,2.648676905
quiescenc,365.0,0.0041389023917808,1.510699373
recapitul,365.0,0.0044809662657534,1.635552687
reciproc,365.0,0.0039589914273972,1.445031871
replac,365.0,0.0051373153506849,1.875120103
retent,365.0,0.0048088674931506,1.755236635
segreg,365.0,0.0063868033315068,2.331183216
semen,365.0,0.0044809662657534,1.635552687
silenc,365.0,0.005669858389041,2.069498312
smooth,365.0,0.0048242649917808,1.7608567219999998
somat,365.0,0.0055145937561643,2.012826721
space,365.0,0.0044638420684931,1.629302355
spermatozoa,365.0,0.0041389023917808,1.510699373
superfamili,365.0,0.0056919684027397,2.077568467
tempor,365.0,0.0049730344739726,1.815157583
uncharacter,365.0,0.0039589914273972,1.445031871
union,365.0,0.0107542321671232,3.925294741
venom,365.0,0.004301295789041,1.569972963
vibrio,365.0,0.0046448374246575,1.6953656600000002
virolog,365.0,0.0039589914273972,1.445031871
western,365.0,0.0061890034575342,2.258986262
zebrafish,365.0,0.0049896230246575,1.821212404
acinetobact,365.0,0.004335079419178,1.582303988
alpin,365.0,0.0052057363150684,1.900093755
arthriti,365.0,0.0041688024301369,1.5216128870000003
atyp,365.0,0.0038340376328767,1.399423736
biopolym,365.0,0.0038340376328767,1.399423736
breast,365.0,0.0071341874356164,2.603978414
cumul,365.0,0.0040017899972602,1.460653349
cytometri,365.0,0.0057484824410958,2.098196091
distinguish,365.0,0.0038340376328767,1.399423736
duplex,365.0,0.0052057363150684,1.900093755
elucid,365.0,0.0053496190328767,1.952610947
emt,365.0,0.0048745230986301,1.779200931
fibroin,365.0,0.0041688024301369,1.5216128870000003
freez,365.0,0.0041688024301369,1.5216128870000003
hypersensit,365.0,0.0050404963945205,1.839781184
machineri,365.0,0.0054556748657534,1.991321326
mcf7,365.0,0.0038340376328767,1.399423736
opportunist,365.0,0.0038340376328767,1.399423736
owner,365.0,0.0040017899972602,1.460653349
oxford,365.0,0.0038340376328767,1.399423736
pharmaci,365.0,0.004335079419178,1.582303988
prenat,365.0,0.0052057363150684,1.900093755
prokaryot,365.0,0.0038340376328767,1.399423736
strand,365.0,0.0045731088767123,1.66918474
threaten,365.0,0.0089329908438356,3.2605416580000006
adsorb,366.0,0.0050880680546448,1.862232908
adsorpt,366.0,0.0063409589153005,2.320790963
antivir,366.0,0.003897696704918,1.426556994
asian,366.0,0.0041036272650273,1.501927579
aspergillus,366.0,0.0065409027158469,2.393970394
c4,366.0,0.0041036272650273,1.501927579
captur,366.0,0.0066052307377049,2.41751445
coronavirus,366.0,0.0093753532540983,3.431379291
cov-2,366.0,0.011562841830601,4.23200011
covid-19,366.0,0.011562841830601,4.23200011
criteria,366.0,0.0043062831038251,1.576099616
daili,366.0,0.0055512803797814,2.031768619
dehydr,366.0,0.006012841352459,2.200699935
ehu,366.0,0.0050274492896174,1.8400464400000005
fatal,366.0,0.0041036272650273,1.501927579
graphic,366.0,0.0048269546420765,1.766665399
incur,366.0,0.0043062831038251,1.576099616
microalga,366.0,0.0041566535710382,1.521335207
nanocomposit,366.0,0.0050880680546448,1.862232908
nitrat,366.0,0.0041566535710382,1.521335207
pandem,366.0,0.0108326705054644,3.964757405
paramount,366.0,0.0045663594371584,1.671287554
pseudo,366.0,0.0050880680546448,1.862232908
public,366.0,0.0041000205901639,1.500607536
qtl,366.0,0.006012841352459,2.200699935
ramaswami,366.0,0.0043631557568306,1.596915007
recurr,366.0,0.0048837455437158,1.787450869
remov,366.0,0.0038694398907103,1.416215
respiratori,366.0,0.007268829409836,2.660391564
salin,366.0,0.0051448052103825,1.882998707
sarma,366.0,0.0043631557568306,1.596915007
sorghum,366.0,0.0048269546420765,1.766665399
spread,366.0,0.0048837455437158,1.787450869
tendenc,366.0,0.005749607489071,2.104356341
upv,366.0,0.0050274492896174,1.8400464400000005
xylos,366.0,0.0052891022704918,1.9358114310000003
