date,country_code,country,price,combined_text,clean_text,cluster,SVD_1,SVD_2
1939-03-31,IT,Italy,0.013,1939-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1939-06-30,IT,Italy,0.013,1939-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1939-09-30,IT,Italy,0.0132,1939-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1939-12-31,IT,Italy,0.0134,1939-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1940-03-31,IT,Italy,0.0136,1940-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1940-06-30,IT,Italy,0.0138,1940-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1940-09-30,IT,Italy,0.0142,1940-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1940-12-31,IT,Italy,0.0147,1940-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1941-03-31,IT,Italy,0.0153,1941-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1941-06-30,IT,Italy,0.0158,1941-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1941-09-30,IT,Italy,0.0162,1941-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1941-12-31,IT,Italy,0.0165,1941-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1942-03-31,IT,Italy,0.0168,1942-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1942-06-30,IT,Italy,0.0171,1942-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1942-09-30,IT,Italy,0.0178,1942-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1942-12-31,IT,Italy,0.0188,1942-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1943-03-31,IT,Italy,0.0199,1943-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1943-06-30,IT,Italy,0.021,1943-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1943-09-30,IT,Italy,0.0287,1943-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1943-12-31,IT,Italy,0.0435,1943-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1944-03-31,IT,Italy,0.0583,1944-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1944-06-30,IT,Italy,0.0729,1944-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1944-09-30,IT,Italy,0.1165,1944-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1944-12-31,IT,Italy,0.1903,1944-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1945-03-31,IT,Italy,0.2632,1945-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1945-06-30,IT,Italy,0.3357,1945-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1945-09-30,IT,Italy,0.3963,1945-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1945-12-31,IT,Italy,0.4436,1945-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1946-03-31,IT,Italy,0.4904,1946-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1946-06-30,IT,Italy,0.537,1946-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1946-09-30,IT,Italy,0.5998,1946-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1946-12-31,IT,Italy,0.6797,1946-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1947-03-31,IT,Italy,0.7587,1947-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1947-06-30,IT,Italy,0.8373,1947-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1947-09-30,IT,Italy,0.9007,1947-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1947-12-31,IT,Italy,0.9475,1947-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1948-03-31,IT,Italy,1.044,1948-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1948-06-30,IT,Italy,1.0729,1948-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1948-09-30,IT,Italy,0.9875,1948-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1948-12-31,IT,Italy,1.0204,1948-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1949-03-31,IT,Italy,1.05,1949-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1949-06-30,IT,Italy,1.0542,1949-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1949-09-30,IT,Italy,0.9606,1949-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1949-12-31,IT,Italy,0.9209,1949-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1950-03-31,IT,Italy,0.9173,1950-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1950-06-30,IT,Italy,0.9829,1950-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1950-09-30,IT,Italy,1.0618,1950-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1950-12-31,IT,Italy,1.0751,1950-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1951-03-31,IT,Italy,1.1436,1951-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1951-06-30,IT,Italy,1.2268,1951-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1951-09-30,IT,Italy,1.2167,1951-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1951-12-31,IT,Italy,1.2011,1951-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1952-03-31,IT,Italy,1.1967,1952-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1952-06-30,IT,Italy,1.2143,1952-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1952-09-30,IT,Italy,1.2297,1952-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1952-12-31,IT,Italy,1.2396,1952-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1953-03-31,IT,Italy,1.2205,1953-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1953-06-30,IT,Italy,1.2598,1953-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1953-09-30,IT,Italy,1.2087,1953-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1953-12-31,IT,Italy,1.2314,1953-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1954-03-31,IT,Italy,1.2642,1954-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1954-06-30,IT,Italy,1.2669,1954-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1954-09-30,IT,Italy,1.29,1954-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1954-12-31,IT,Italy,1.3125,1954-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1955-03-31,IT,Italy,1.3224,1955-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1955-03-31,JP,Japan,2.2115,1955-03-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1955-06-30,IT,Italy,1.3156,1955-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1955-06-30,JP,Japan,2.2785,1955-06-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1955-09-30,IT,Italy,1.3094,1955-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1955-09-30,JP,Japan,2.3462,1955-09-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1955-12-31,IT,Italy,1.3077,1955-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1955-12-31,JP,Japan,2.4327,1955-12-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1956-03-31,IT,Italy,1.3441,1956-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1956-03-31,JP,Japan,2.5192,1956-03-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1956-06-30,IT,Italy,1.3554,1956-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1956-06-30,JP,Japan,2.6635,1956-06-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1956-09-30,IT,Italy,1.3446,1956-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1956-09-30,JP,Japan,2.8077,1956-09-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1956-12-31,IT,Italy,1.363,1956-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1956-12-31,JP,Japan,2.9952,1956-12-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1957-03-31,IT,Italy,1.3855,1957-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1957-03-31,JP,Japan,3.1827,1957-03-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1957-06-30,IT,Italy,1.3785,1957-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1957-06-30,JP,Japan,3.35,1957-06-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1957-09-30,IT,Italy,1.3844,1957-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1957-09-30,JP,Japan,3.5192,1957-09-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1957-12-31,IT,Italy,1.4018,1957-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1957-12-31,JP,Japan,3.7163,1957-12-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1958-03-31,IT,Italy,1.39,1958-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1958-03-31,JP,Japan,3.9135,1958-03-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1958-06-30,IT,Italy,1.4122,1958-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1958-06-30,JP,Japan,4.1477,1958-06-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1958-09-30,IT,Italy,1.4003,1958-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1958-09-30,JP,Japan,4.3846,1958-09-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1958-12-31,IT,Italy,1.3773,1958-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1958-12-31,JP,Japan,4.6154,1958-12-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1959-03-31,IT,Italy,1.3668,1959-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1959-03-31,JP,Japan,4.8462,1959-03-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1959-06-30,IT,Italy,1.3815,1959-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1959-06-30,JP,Japan,5.133,1959-06-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1959-09-30,IT,Italy,1.3835,1959-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1959-09-30,JP,Japan,5.4231,1959-09-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1959-12-31,IT,Italy,1.4263,1959-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1959-12-31,JP,Japan,5.6923,1959-12-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1960-03-31,IT,Italy,1.4355,1960-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1960-03-31,JP,Japan,5.9615,1960-03-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1960-06-30,IT,Italy,1.411,1960-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1960-06-30,JP,Japan,6.4087,1960-06-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1960-09-30,IT,Italy,1.4265,1960-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1960-09-30,JP,Japan,6.8558,1960-09-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1960-12-31,IT,Italy,1.4402,1960-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1960-12-31,JP,Japan,7.5337,1960-12-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1961-03-31,IT,Italy,1.4666,1961-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1961-03-31,JP,Japan,8.2115,1961-03-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1961-06-30,IT,Italy,1.4887,1961-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1961-06-30,JP,Japan,8.857,1961-06-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1961-09-30,IT,Italy,1.5023,1961-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1961-09-30,JP,Japan,9.5096,1961-09-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1961-12-31,IT,Italy,1.5236,1961-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1961-12-31,JP,Japan,9.9471,1961-12-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1962-03-31,IT,Italy,1.5662,1962-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1962-03-31,JP,Japan,10.3846,1962-03-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1962-06-30,IT,Italy,1.6174,1962-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1962-06-30,JP,Japan,10.8149,1962-06-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1962-06-30,NZ,New Zealand,1.8046,1962-06-30 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1962-09-30,IT,Italy,1.6208,1962-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1962-09-30,JP,Japan,11.25,1962-09-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1962-09-30,NZ,New Zealand,1.8188,1962-09-30 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
