word,level,pos,definition_url,voice_url,clean_text,cluster
add to sth,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/add-to#add_sng_18,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/add_t/add_to_sth_1_us_1.ogg,add sth,3
after all,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/after_1#after_sng_12,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aft/after/after_all_1_us_1.ogg,,1
again and again,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/again#again_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aga/again/again_and_again_1_us_1.ogg,,1
agree with sb,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/agree#agree_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/agr/agree/agree_with_sb_1_us_1.ogg,agree sb,1
aim to do sth,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/aim_1#aim_sng_4,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aim/aim_t/aim_to_do_sth_1_us_1.ogg,aim sth,3
aimed at doing sth,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/aim_1#aim_sng_5,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aim/aimed/aimed_at_doing_sth_1_us_1.ogg,aimed sth,3
aimed at sb,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/aim_1#aim_sng_7,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aim/aimed/aimed_at_sb_1_us_1.ogg,aimed sb,1
all about…,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/about_1#about_sng_9,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/all/all_a/all_about_1_us_1.ogg,,1
all but,c1,,https://www.oxfordlearnersdictionaries.com/definition/english/all_3#all_sng_29,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/all/all_b/all_but_1_us_2.ogg,,1
all day,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/day#day_sng_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/all/all_d/all_day_1_us_2.ogg,day,0
