FOD1P,Major,Major_Category,Cluster
6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health,0
6104,MEDICAL ASSISTING SERVICES,Health,0
6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health,0
6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,0
6107,NURSING,Health,0
6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,0
6109,TREATMENT THERAPY PROFESSIONS,Health,0
6110,COMMUNITY AND PUBLIC HEALTH,Health,0
6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,0
1501,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts,0
2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts,0
2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts,0
2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts,0
3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts,0
3302,COMPOSITION AND RHETORIC,Humanities & Liberal Arts,0
3401,LIBERAL ARTS,Humanities & Liberal Arts,0
3402,HUMANITIES,Humanities & Liberal Arts,0
4001,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts,0
4801,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts,0
4901,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts,0
5502,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts,0
6006,ART HISTORY AND CRITICISM,Humanities & Liberal Arts,0
6402,HISTORY,Humanities & Liberal Arts,0
6403,UNITED STATES HISTORY,Humanities & Liberal Arts,0
2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services,0
2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services,0
3801,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services,0
4101,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services,0
5601,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services,0
5701,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services,0
5901,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services,0
4000,MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary,0
3201,COURT REPORTING,Law & Public Policy,0
3202,PRE-LAW AND LEGAL STUDIES,Law & Public Policy,0
5301,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy,0
5401,PUBLIC ADMINISTRATION,Law & Public Policy,0
5402,PUBLIC POLICY,Law & Public Policy,0
bbbb ,N/A (less than bachelor's degree),,0
5000,PHYSICAL SCIENCES,Physical Sciences,0
5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences,0
5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,0
5003,CHEMISTRY,Physical Sciences,0
5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences,0
5005,GEOSCIENCES,Physical Sciences,0
5006,OCEANOGRAPHY,Physical Sciences,0
5007,PHYSICS,Physical Sciences,0
5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences,0
5102,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences,0
5200,PSYCHOLOGY,Psychology & Social Work,0
5201,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work,0
5202,CLINICAL PSYCHOLOGY,Psychology & Social Work,0
5203,COUNSELING PSYCHOLOGY,Psychology & Social Work,0
5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work,0
5206,SOCIAL PSYCHOLOGY,Psychology & Social Work,0
5299,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work,0
5403,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work,0
5404,SOCIAL WORK,Psychology & Social Work,0
4007,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science,3
5500,GENERAL SOCIAL SCIENCES,Social Science,0
5501,ECONOMICS,Social Science,0
5503,CRIMINOLOGY,Social Science,0
5504,GEOGRAPHY,Social Science,0
5505,INTERNATIONAL RELATIONS,Social Science,0
5506,POLITICAL SCIENCE AND GOVERNMENT,Social Science,0
5507,SOCIOLOGY,Social Science,0
5599,MISCELLANEOUS SOCIAL SCIENCES,Social Science,0
