Company,"Know to use the ""Double Irish Arrangement""?",Discloses Likely Tax Payments from Repatriation,Citizen for Tax Justice ID,Category,Description,Turnover,Profit,Employees,Address,Profile on Irish Times,Coordinates,Image,Sources,Sources Link,Homepage,Twitter,clean_text,Cluster
Abbott Laboratories,Yes,No,Abbott Lab.,Health,"Abbott Laboratories Ireland Limited is responsible for the sales, marketing and distribution of a wide range of pharmaceutical, hospital, nutritional and diagnostic products.Abbott Laboratories Ireland Limited was the first Abbott business unit to be established in Ireland, in 1946.The Irish commercial operation distributes and sells products from Abbott’s diagnostics, diabetes care, nutritional and pharmaceutical divisions.Employing approximately 3,000 people across 11 sites in Ireland, the company has six manufacturing facilities located in Clonmel, Cootehill, Donegal, Longford and Sligo and a third party manufacturing management operation in Sligo.","€82,800,000","€20,800,000",115,4051 Kingswood Drive  Citywest Business Campus  Dublin 24  Ireland,http://www.top1000.ie/abbott-laboratories,"53.293402,-6.415074",http://www.top1000.ie/images/logo/abbott-laboratories,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.abbott.ie/,@AbbottNews,abbott laboratory ireland limited responsible sale marketing distribution wide range pharmaceutical hospital nutritional diagnostic productsabbott laboratory ireland limited first abbott business unit established ireland irish commercial operation distributes sell product abbotts diagnostics diabetes care nutritional pharmaceutical divisionsemploying approximately people across site ireland company six manufacturing facility located clonmel cootehill donegal longford sligo third party manufacturing management operation sligo,0
Adobe,Yes,,,Consumer Technology,"Adobe Software Trading Company Limited, based in Citywest in Dublin, operates as a subsidiary of Adobe Systems Inc.Founded in 1982 and with headquarters in San Jose, California, Adobe Systems Inc makes software including Adobe Flash Player, Adobe Reader and Adobe AIR® runtime.","€1,600,000,000","€55,500,000","2,790",Adobe Systems Software Ireland Limited  4-6 Riverwalk  Citywest Business Campus  Dublin 24  Ireland,http://www.top1000.ie/adobe,"53.289828,-6.426359",http://www.top1000.ie/images/logo/adobe,Known Double Irish Arrangement,http://en.wikipedia.org/wiki/Double_Irish_arrangement,http://www.adobe.com/,@adobe,adobe software trading company limited based citywest dublin operates subsidiary adobe system incfounded headquarters san jose california adobe system inc make software including adobe flash player adobe reader adobe air runtime,3
Allergan,Yes,,,Pharma,"Allergan Pharmaceuticals Holdings (Ireland) Ltd is Allergan’s main Irish subsidiary.US-owned Allergan employs around 900 people in Ireland – 780 of them at its main manufacturing plant in Westport, Co Mayo, where botox is one of a number of pharmaceutical products made.Allergan also employs an additional 60 people at its European and emerging markets supply chain centre based in Dublin. In January 2012 the company announced it was adding 200 new jobs at its Mayo facility.","€360,000,000",,900,Castlebar Road  Westport  County Mayo,http://www.top1000.ie/allergan,"53.803834,-9.502444",http://www.top1000.ie/images/logo/allergan,Known Double Irish Arrangement,http://blogs.wsj.com/pharmalot/2014/10/15/what-does-closing-the-double-irish-tax-loophole-mean-for-pharma/,http://www.allergan.ie/,@ALLERGAN,allergan pharmaceutical holding ireland ltd allergans main irish subsidiaryusowned allergan employ around people ireland main manufacturing plant westport mayo botox one number pharmaceutical product madeallergan also employ additional people european emerging market supply chain centre based dublin january company announced adding new job mayo facility,0
Apple,Yes,Yes,Apple Inc.,Consumer Technology,"Apple designs and creates iPod and iTunes, Mac laptop and desktop computers, the OS X operating system, and the iPhone.The company first established operations in Ireland in 1980. It currently employs approximately 4,000 people in Cork.","€6,200,000,000",,"4,000","Hollyhill Industrial Estate, Hollyhill  Cork",http://www.top1000.ie/apple,"51.903401,-8.511703",,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.apple.com/ie/,,apple design creates ipod itunes mac laptop desktop computer operating system iphonethe company first established operation ireland currently employ approximately people cork,0
Eli Lilly,Yes,Yes,Eli Lilly and Company,Pharma,"Eli Lilly and Co (Ireland) Ltd provides sales and marketing activities for the Eli Lilly and Company Group.Eli Lilly and Company develops pharmaceutical products that treat depression, schizophrenia, attention-deficit hyperactivity disorder, diabetes, osteoporosis, cancer and many other illnesses.Both Small Molecules and Biopharmaceutical Medicines for human health are manufactured in the company's Kinsale plant. In February 2012 Eli Lilly and Company announced it would invest €330 million in a brand-new facility at its Kinsale campus. The investment will expand the Kinsale site's existing biopharmaceutical mission with the establishment of an additional commercialisation and manufacturing facility.The new facility, when fully operational, will require up to 200 highly skilled employees.Animal Vaccines are manufactured in ELANCO in Sligo. This facility was purchased in 2010.Lilly’s Irish Sales, Marketing and Medical affiliate is located in Dublin. A European Financial Shared Services Centre commenced operations in Cork in 2010.The company sells its products in 160 countries worldwide and and employs more than 38,000 people across the globe.","€354,100,000",,800,Eli Lilly and Company (Ireland) Ltd.  Hyde House  65 Adelaide Road  Dublin 2  Ireland.,http://www.top1000.ie/eli-lilly,"53.332611,-6.257268",http://www.top1000.ie/images/logo/eli-lilly,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.lilly.ie/,@EliLillyCo,eli lilly ireland ltd provides sale marketing activity eli lilly company groupeli lilly company develops pharmaceutical product treat depression schizophrenia attentiondeficit hyperactivity disorder diabetes osteoporosis cancer many illnessesboth small molecule biopharmaceutical medicine human health manufactured company kinsale plant february eli lilly company announced would invest million brandnew facility kinsale campus investment expand kinsale site existing biopharmaceutical mission establishment additional commercialisation manufacturing facilitythe new facility fully operational require highly skilled employeesanimal vaccine manufactured elanco sligo facility purchased lillys irish sale marketing medical affiliate located dublin european financial shared service centre commenced operation cork company sell product country worldwide employ people across globe,0
Facebook,Yes,,,Consumer Technology,"Founded in 2004, Facebook is a social utility that connects people with friends and others who work, study and live around them. People use Facebook to stay connected with friends and family, to discover what’s going on in the world, and to share and express what matters to them. The company has more than 3500 employees worldwide.","€1,800,000,000","-€600,000",382,Hanover Reach  5-7 Hanover Quay  Dublin 2,http://www.top1000.ie/facebook,"53.344154,-6.236816",http://www.top1000.ie/images/logo/facebook,Known Double Irish Arrangement,http://en.wikipedia.org/wiki/Double_Irish_arrangement,http://www.facebook.com/,@facebook,founded facebook social utility connects people friend others work study live around people use facebook stay connected friend family discover whats going world share express matter company employee worldwide,2
Forest Laboratories,Yes,,,Health,"Forest Laboratories Holdings Ireland is part of Forest Laboraties Europe, which is the group name for the European subsidiaries of New York-based pharmaceutical company Forest Laboraties Inc. It is based in Clonshaugh Industrial Estate in Coolock, Dublin 17.","€1,600,000,000","€66,700,000",322,Forest Laboratories Holdings Limited  Clonshaugh Industrial Estate  Coolock  Dublin 17,http://www.top1000.ie/forest-laboratories,"53.410752,-6.205126",,Known Double Irish Arrangement,http://en.wikipedia.org/wiki/Double_Irish_arrangement,http://www.forestlabs.com/,,forest laboratory holding ireland part forest laboraties europe group name european subsidiary new yorkbased pharmaceutical company forest laboraties inc based clonshaugh industrial estate coolock dublin,0
GE,Yes,No,General Electric,Business Technology,"A division of GE, the principal activity of GE Sensing EMEA is the manufacture and sale of sensing equipment. The company has operations in Shannon, Co. Clare.","€53,600,000","€7,800,000",146,"GE Sensing  Sensing House  Eastpark Shannon Freezone, Shannon",http://www.top1000.ie/ge,"52.719368,-8.862861",http://www.top1000.ie/images/logo/ge,Citizen For Tax Justice 2013,http://ctj.org/pdf/applenotalone.pdf,http://www.ge-mcs.com/en/,@GE_energy_mc,division principal activity sensing emea manufacture sale sensing equipment company operation shannon clare,0
Google,Yes,No,Google Inc.,Consumer Technology,"Google Ireland is the Europe, Middle East and Africa (EMEA) headquarters for Google and provides technical, sales and operations support to customers in over 50 countries. As of May 2012 it employed more than 2,000 people at its offices in Barrow Street in Dublin 4. As of May Around1,500 people are employed in sales, with the remainder working in the fields of engineering, HR, law, and finance.Over 56 nationalities work at its European headquarters in Dublin. Turnover at Google Ireland Limited rose by 28 per cent in 2010 to €10.9 billion - accounting for roughly 40 per cent of the search engine giant’s global earnings. The Irish subsidiary spent €29.15 million on research and development in 2010 according to its filed accounts, and paid taxes of €15.3 million in Ireland in 2010, down from €18.3 million in 2009. A €20.7 million exceptional charge was taken relating to a writedown of its holding in Doubleclick International Holdings. As a result, the company showed a sharp fall in pretax profits to €1.7 million from €30.2 million in 2009.","€17,000,000,000","€189,100,000","2,288",Barrow Street  Dublin 4,http://www.top1000.ie/google,"53.338735,-6.236751",http://www.top1000.ie/images/logo/google,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.google.ie/,@google,google ireland europe middle east africa emea headquarters google provides technical sale operation support customer country may employed people office barrow street dublin may around people employed sale remainder working field engineering law financeover nationality work european headquarters dublin turnover google ireland limited rose per cent billion accounting roughly per cent search engine giant global earnings irish subsidiary spent million research development according filed account paid tax million ireland million million exceptional charge taken relating writedown holding doubleclick international holding result company showed sharp fall pretax profit million million,3
IBM,Yes,No,International Business Machines,Technology,"IBM is a provider of advanced information technology, products, services and business consulting expertise.IBM in Ireland is made up of a diverse workforce of over 3,000 employees working across a broad range of businesses and locations including: IBM Ireland, which has nationwide responsibilities for delivering sales, marketing and services across the Irish market; the company's Technology Campus in Mulhuddart, Dublin, which hosts IBM's globally integrated international missions, delivers services, manufacturing, research and software development, together with laboratories in Cork and Galway, for the world market; and our European Sales and Services Support Centres based in Blanchardstown, Dublin, which delivers to the European market.","€504,000,000",,"3,000",Oldbrook House  24- 32 Pembroke Road  Ballsbridge  Dublin 4,http://www.top1000.ie/ibm,"53.332773,-6.240608",http://www.top1000.ie/images/logo/ibm,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.ibm.com/ibm/ie,@IBM,ibm provider advanced information technology product service business consulting expertiseibm ireland made diverse workforce employee working across broad range business location including ibm ireland nationwide responsibility delivering sale marketing service across irish market company technology campus mulhuddart dublin host ibms globally integrated international mission delivers service manufacturing research software development together laboratory cork galway world market european sale service support centre based blanchardstown dublin delivers european market,2
Johnson & Johnson,Yes,No,Johnson&Johnson,Health,"Johnson & Johnson has been operating in Ireland since 1935. Its Irish head office has been based at its current site in Tallaght, Dublin since 1952.The company is engaged in the supply of healthcare, personal care and toiletries and over the counter products to the consumer market. The company is also engaged in the distribution of medical devices for use in the hospital and healthcare markets.Johnson & Johnson Ireland Limited is part of Johnson & Johnson, which has more than 250 operating companies in 60 countries employing approximately 118,000 people.The company's worldwide headquarters is in New Brunswick, New Jersey, USA.","€59,700,000","€3,100,000",100,"Airton Road, Tallaght, Dublin 24",http://www.top1000.ie/johnson-johnson,"53.293749,-6.362115",http://www.top1000.ie/images/logo/johnson-johnson,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.jnj.com/,@JNJNews,johnson johnson operating ireland since irish head office based current site tallaght dublin since company engaged supply healthcare personal care toiletry counter product consumer market company also engaged distribution medical device use hospital healthcare marketsjohnson johnson ireland limited part johnson johnson operating company country employing approximately peoplethe company worldwide headquarters new brunswick new jersey usa,0
Microsoft,Yes,Yes,Microsoft Corporation,Technology,"Microsoft Ireland Operations Ltd is a subsidiary of the software giant Microsoft which sells, distributes and markets software globally from Dublin. Microsoft, the world’s biggest software company, established an Irish manufacturing facility in 1985 and now employs over 1,200 staff directly at its operations in south Dublin. About 700 contract staff also work there.Microsoft Ireland Operations Ltd sells Windows, Office and other Microsoft software in about 120 countries worldwide, including Ireland.","€15,000,000,000","€772,000,000","1,200",Building 3  Carmanhall Road  Sandyford Industrial Estate  Dublin 18,http://www.top1000.ie/microsoft,"53.277047,-6.211114",http://www.top1000.ie/images/logo/microsoft,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.microsoft.com/en-ie/default.aspx,@Microsoft,microsoft ireland operation ltd subsidiary software giant microsoft sell distributes market software globally dublin microsoft world biggest software company established irish manufacturing facility employ staff directly operation south dublin contract staff also work theremicrosoft ireland operation ltd sell window office microsoft software country worldwide including ireland,3
Oracle,Yes,Yes,Oracle Corporation,Business Technology,"The principal activity of Oracle EMEA Ltd is the manufacture and sale of computer software in the European market, together with the provision of associated translation, finance and marketing services. Oracle Corporation, incorporated in 2005, is an enterprise software company. It develops, manufactures, markets, distributes and services database and middleware software, applications software and hardware systems, consisting primarily of computer server and storage products. It operates in three segments, software, hardware systems and services. Its software business comprises two operating segments: new software licenses and software license updates and product support. Its hardware business consists of hardware systems products and hardware systems support. Its services business comprises consulting, Cloud Services and education. In January 2011, Oracle completed the acquisition of Art Technology Group, Inc. a provider of eCommerce software and related on demand commerce optimisation applications. In 2010, the company completed the acquisition of Phase Forward Incorporated a provider of applications for life sciences companies and healthcare providers.","€7,200,000,000","€164,400,000","1,098",Oracle Customer Centre  Block H  East Point Business Park  Clontarf  Dublin 3,http://www.top1000.ie/oracle,"53.367097,-6.186934",http://www.top1000.ie/images/logo/oracle,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.oracle.com/,@oracle,principal activity oracle emea ltd manufacture sale computer software european market together provision associated translation finance marketing service oracle corporation incorporated enterprise software company develops manufacture market distributes service database middleware software application software hardware system consisting primarily computer server storage product operates three segment software hardware system service software business comprises two operating segment new software license software license update product support hardware business consists hardware system product hardware system support service business comprises consulting cloud service education january oracle completed acquisition art technology group inc provider ecommerce software related demand commerce optimisation application company completed acquisition phase forward incorporated provider application life science company healthcare provider,2
Pfizer Global Supply,Yes,No,Pfizer,Health,"Pfizer is a research-based pharmaceutical multinational. The company was one of the first pharmaceutical companies to locate in Ireland (1969). The Irish operations manufacture some of Pfizer’s best-selling and newest medicines including Viagra (urology), Sutent (oncology), Enbrel (rheumatology) and Prevenar (vaccines). Ireland is a leading manufacturing base for Pfizer globally, exporting to global markets.","€7,000,000,000",,"3,200",Ringaskiddy  Co Cork.,http://www.top1000.ie/pfizer-global-supply,"51.83009,-8.324371",http://www.top1000.ie/images/logo/pfizer-global-supply,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.pfizer.ie/,@pfizer_news,pfizer researchbased pharmaceutical multinational company one first pharmaceutical company locate ireland irish operation manufacture pfizers bestselling newest medicine including viagra urology sutent oncology enbrel rheumatology prevenar vaccine ireland leading manufacturing base pfizer globally exporting global market,0
Starbucks Coffee Company Ireland,Yes,,,Food,,"€15,000,000","€700,000",211,,http://www.top1000.ie/starbucks-coffee-company-ireland,,http://www.top1000.ie/images/logo/starbucks-coffee-company-ireland,Known Double Irish Arrangement,http://en.wikipedia.org/wiki/Double_Irish_arrangement,,@Starbucks,,3
Yahoo! Ireland,Yes,,,Technology,"Yahoo! Ireland Services Ltd provides services to Yahoo! group entities in Europe. These services include media services, shared service support and server hosting.","€43,700,000","€3,400,000",165,Block P  East Point Business Park  Clontarf  Dublin 3,http://www.top1000.ie/yahoo-ireland,"53.367097,-6.186934",,Known Double Irish Arrangement,http://en.wikipedia.org/wiki/Double_Irish_arrangement,http://www.yahoo.ie/,,yahoo ireland service ltd provides service yahoo group entity europe service include medium service shared service support server hosting,2
3M Ireland,,,,Consumer Technology,"3M is a diversified technology company serving customers and communities with innovative products and services. It has a worldwide presence in markets such as consumer and office, display and graphics, electro and communications, as well as healthcare and security services.","€32,200,000","€3,300,000",43,,http://www.top1000.ie/3m-ireland,"53.251912,-6.184768",,,,,,diversified technology company serving customer community innovative product service worldwide presence market consumer office display graphic electro communication well healthcare security service,2
4 Aces,,,,Food,"4 Aces is a cash-and-carry distributor to the grocery, catering and licensed trades. It distributes Homestead products and White Hat, as well as promoting Gala. It operates from a distribution facility located in Portlaoise, Co Laois.","€59,600,000","€600,000",77,Clonminham Industrial Estate  Portlaoise  Co Laois ,http://www.top1000.ie/4-aces,"53.025357,-7.313257",,,,http://www.4aceswholesale.ie/,,ace cashandcarry distributor grocery catering licensed trade distributes homestead product white hat well promoting gala operates distribution facility located portlaoise laois,1
A.W. Ennis,,,,Agribusiness,The principal activity of the company is the manufacture and distribution of animal foodstuffs from its mill at Virginia in Co. Cavan.,"€64,800,000","-€16,200,000",45,A.W. Ennis  Virginia Mills  Virginia  Co.Cavan  Eire,http://www.top1000.ie/aw-ennis,"53.842894,-7.088135",,,,http://www.awennis.ie/,,principal activity company manufacture distribution animal foodstuff mill virginia cavan,0
A&L Goodbody,,,,Professional Services Law,"With over 400 legal staff and a total headcount of approximately 640, A&L Goodbody advises on business law for the domestic and international corporate sector.It has offices in both Dublin and Belfast, as well as London, New York, San Francisco and Palo Alto.","€96,700,000",,640,A&L Goobody Head Office  28 North Wall Quay  Dublin 1,http://www.top1000.ie/al-goodbody,"53.348051,-6.242688",http://www.top1000.ie/images/logo/al-goodbody,,,http://www.algoodbody.com/,@algoodbody,legal staff total headcount approximately goodbody advises business law domestic international corporate sectorit office dublin belfast well london new york san francisco palo alto,2
ABB,,,,Business Technology,"ABB provides power and automation technologies which enable utility and industry customers to improve their performance while lowering environmental impact.In Ireland, ABB operates in five locations around the country employing over 150 people. From its head office on the Belgard Road, Tallaght, it operates five divisions: power systems, power products, low voltage products, discrete automation & motion and process automation where staff are involved in sales, technical support, engineering and project management. Cork and Lisburn provide regional support to company customers while ABB Waterford is a regional office for ABB’s global transformers business. ABB Dundalk is a sales, marketing and R&D centre that supports the pulp & paper industry.","€73,600,000","€5,000,000",147,Belgard Road  Tallaght  Dublin 24,http://www.top1000.ie/abb,"53.299656,-6.372639",http://www.top1000.ie/images/logo/abb,,,http://new.abb.com/ie,@ABBgroupnews,abb provides power automation technology enable utility industry customer improve performance lowering environmental impactin ireland abb operates five location around country employing people head office belgard road tallaght operates five division power system power product low voltage product discrete automation motion process automation staff involved sale technical support engineering project management cork lisburn provide regional support company customer abb waterford regional office abb global transformer business abb dundalk sale marketing centre support pulp paper industry,2
Abbey,,,,Construction,"Abbey plc is quoted on the ESM in Dublin, and the AIM Market in London.The company’s main activities are residential housing development in the United Kingdom, Ireland and Prague. It also has a plant hire division, M&J Engineers Ltd., based in the United Kingdom.","€70,400,000","€12,100,000",173,9 Abbey House  Main Street  Clonee  Co. Meath,http://www.top1000.ie/abbey,"53.409603,-6.438918",,,,http://www.abbeyplc.ie/,,abbey plc quoted esm dublin aim market londonthe company main activity residential housing development united kingdom ireland prague also plant hire division engineer ltd based united kingdom,3
Abbey Travel,,,,Tourism,"The principal activity of Travelplan Partners (Abbey Travel Ltd) is the operation of a travel agency and a tour operator. Abbey Travel have been arranging quality holidays and leisure breaks for Irish travellers for over 30 years. The company offers holidays, short breaks and sports packages. It is an official agent for Disneyland® Resort Paris.FCm Travel Solutions in Ireland is part of the Abbey Travel Group and plays a full part in the FCm Global network.","€46,100,000","-€43,489",101,43 - 45 Middle Abbey Street  Dublin 1,http://www.top1000.ie/abbey-travel,"53.347908,-6.263184",http://www.top1000.ie/images/logo/abbey-travel,,,http://www.abbeytravel.ie/,@abbey_travel,principal activity travelplan partner abbey travel ltd operation travel agency tour operator abbey travel arranging quality holiday leisure break irish traveller year company offer holiday short break sport package official agent disneyland resort parisfcm travel solution ireland part abbey travel group play full part fcm global network,3
Abbott,,,,Health,"Abbott Vascular is a healthcare company focused on advancing the treatment of vascular disease. The company's line of vascular devices–which includes vessel closure, endovascular and coronary technologies–are used to treat vessel diseases of the heart, carotid arteries and peripheral blood vessels. Abbott Vascular in Clonmel manufactures a broad range of vascular devices including stent delivery systems.","€270,000,000",,"4,000",Cashel Road  Clonmel  Co Tipperary.,http://www.top1000.ie/abbott,"52.364246,-7.715772",http://www.top1000.ie/images/logo/abbott,Known Double Irish Arrangement,http://en.wikipedia.org/wiki/Double_Irish_arrangement,http://www.abbott.ie/locations-aivdclonmel,@abbottnews,abbott vascular healthcare company focused advancing treatment vascular disease company line vascular deviceswhich includes vessel closure endovascular coronary technologiesare used treat vessel disease heart carotid artery peripheral blood vessel abbott vascular clonmel manufacture broad range vascular device including stent delivery system,0
Ability West,,,,Resources,"Ability West is a charity providing services and supports to children and adults with intellectual disabilities. It relies on fundraising to provides its services. It has a head office in Blackrock House, Salthill, Co Galway.","€22,400,000","€400,000",,Blackrock House  Salthill  Galway,http://www.top1000.ie/ability-west,"53.264183,-9.075927",,,,http://www.abilitywest.ie/,,ability west charity providing service support child adult intellectual disability relies fundraising provides service head office blackrock house salthill galway,2
ABP Food Group,,,,Agribusiness,"ABP is one of Europe’s leading privately owned food processors. Today the group operates across many businesses, spanning Ireland, the UK and Continental Europe and consists of 5 separate divisions: ABP Beef, ABP Proteins, ABP Convenience Foods, ABP Pet Foods and ABP Renewables. The company is controlled by its founder Larry Goodman","€2,300,000,000",,"8,000",14 Castle Street  Ardee  Co Louth.,http://www.top1000.ie/abp-food-group,"53.855907,-6.539502",,,,http://www.abpfoodgroup.com/,,abp one europe leading privately owned food processor today group operates across many business spanning ireland continental europe consists separate division abp beef abp protein abp convenience food abp pet food abp renewables company controlled founder larry goodman,1
Abrakebabra,,,,Food,"Abrakebabra Investments is a franchise businesses and has been trading for over 28 years. The company has strategically grown its portfolio of brands to include the Bagel Factory, Yo! Sushi, Chick King and Gourmet Burger Kitchen, and more recently it acquired the O'Brien's Sandwich chain in the Republic of Ireland.The chain and its franchised operations employs about 1,600 people.","€60,000,000",,"1,600",11 Rathgar Road  Rathmines  Dublin 6,http://www.top1000.ie/abrakebabra,"53.321651,-6.266849",http://www.top1000.ie/images/logo/abrakebabra,,,http://www.abrakebabra.com/,@Abrakebabra,abrakebabra investment franchise business trading year company strategically grown portfolio brand include bagel factory sushi chick king gourmet burger kitchen recently acquired obriens sandwich chain republic irelandthe chain franchised operation employ people,1
Abtran,,,,Professional Services Consultancy,Abtran is one of the largest indigenous business process outsourcer (BPO) in the Irish market. It provides customer management solutions to the public and private sectors.,"€40,000,000",,"1,100",Building 4  University Technology Centre  Curraheen Road  Bishopstown  Cork,http://www.top1000.ie/abtran,"51.874107,-8.541958",,,,http://abtran.com/,,abtran one largest indigenous business process outsourcer bpo irish market provides customer management solution public private sector,2
Accenture,,,,Financial Services Banking,"Accenture is a global management consulting, technology services and outsourcing company, with more than 289,000 people serving clients in more than 120 countries.The company began operating in Ireland in 1969 and is incorporated here employing almost 1,400 people. Since 2005 the Irish operation has been led by Mark Ryan, country managing director for Ireland.","€200,000,000",,"1,400",1 Grand Canal Square  Grand Canal Harbour  Dublin 2,http://www.top1000.ie/accenture,"53.339501,-6.239051",http://www.top1000.ie/images/logo/accenture,,,http://www.accenture.com/,@accenture,accenture global management consulting technology service outsourcing company people serving client countriesthe company began operating ireland incorporated employing almost people since irish operation led mark ryan country managing director ireland,2
Acra Control,,,,Transport,"Acra Control is a supplier of airborne data acquisition networks and recording systems, and real-time data processing ground stations to the aerospace industry. Its customers include all of the major aerospace prime contractors and test agencies, with products supplied to over 300 platforms in 40 countries worldwide. Since 2011, Acra Control has been part of US-listed company Curtiss-Wright Controls, which offers comprehensive subsystem solutions for motion control requirements.","€20,600,000","€4,100,000",123,Landscape House  Landscape Road  Dublin 14,http://www.top1000.ie/acra-control,"53.299318,-6.268404",,,,http://www.cwc-ae.com/acra-control,,acra control supplier airborne data acquisition network recording system realtime data processing ground station aerospace industry customer include major aerospace prime contractor test agency product supplied platform country worldwide since acra control part uslisted company curtisswright control offer comprehensive subsystem solution motion control requirement,2
Adidas,,,,Retailing,Adidas Ireland sells sportswear wholesale from its Dublin office where it employs 28 people. It is a subsidiary of German sports clothing manufacturer Adidas AG.,"€35,500,000","€900,000",34,Block 4  Leopardstown Business Park  Sandyford  Dublin 14,http://www.top1000.ie/adidas,"53.269878,-6.199465",http://www.top1000.ie/images/logo/adidas,,,http://www.adidas-group.com/,@adidas,adidas ireland sell sportswear wholesale dublin office employ people subsidiary german sport clothing manufacturer adidas,1
ADM Ireland,,,,Agribusiness,"ADM began operations in Ireland in 1981 and today conducts business through five subsidiaries: ADM Ringaskiddy Unlimited Liability Co, ADM Ireland Holdings Ltd, Arkady Feed Ltd, Arkady Grain Ltd and ADM Investments Ireland Ltd. ADM's business in Ireland involves importing and distributing ingredients for food and animal feed to commercial customers throughout the country. Its operations in Ireland comprise more than a dozen employees working in the areas of administration, trading and treasury services at offices in Cork and Dublin.","€90,000,000",,12,Callaghan House  13/16 Dame Street  Dublin,http://www.top1000.ie/adm-ireland,"53.344088,-6.265482",http://www.top1000.ie/images/logo/adm-ireland,,,http://www.adm.com/en-US/worldwide/ireland/Pages/default.aspx,@ADMupdates,adm began operation ireland today conduct business five subsidiary adm ringaskiddy unlimited liability adm ireland holding ltd arkady feed ltd arkady grain ltd adm investment ireland ltd adms business ireland involves importing distributing ingredient food animal feed commercial customer throughout country operation ireland comprise dozen employee working area administration trading treasury service office cork dublin,3
Advance Pitstop,,,,Retailing,Advance pitstop (Advance Tyre Company Ltd) sells tyres and vehicle accessories. It also provides vehicle servicing. It operates 30 locations in Ireland and employs 227 people.,"€33,800,000","-€1,600,000",222,Advance House  John F. Kennedy Drive  Naas Road  Dublin 12,http://www.top1000.ie/advance-pitstop,"53.326686,-6.346587",,,,http://www.advancepitstop.com/,,advance pitstop advance tyre company ltd sell tyre vehicle accessory also provides vehicle servicing operates location ireland employ people,1
Aer Lingus,,,,Transport,"Aer Lingus is an Irish low-cost airline providing both long-haul and short-haul passenger transportation services and cargo services. The airline operates over 80 routes throughout the UK and Europe, from its bases at Dublin, Cork, Shannon, Belfast and London Gatwick Airports. Aer Lingus also operates to four gateways in the US including New York-JFK, Boston, Chicago and Orlando.The airline operates 43 aircraft and carries on average 10 million passengers a year. Aer Lingus also provides cargo transportation services to the UK, continental Europe and the USA. Aer Lingus airline partners include United Airlines.","€1,400,000,000","€39,600,000","3,566",Aer Lingus  Head Office Building  Dublin Airport,http://www.top1000.ie/aer-lingus,"53.421265,-6.250475",http://www.top1000.ie/images/logo/aer-lingus,,,http://www.aerlingus.com/,@alingus,aer lingus irish lowcost airline providing longhaul shorthaul passenger transportation service cargo service airline operates route throughout europe base dublin cork shannon belfast london gatwick airport aer lingus also operates four gateway including new yorkjfk boston chicago orlandothe airline operates aircraft carry average million passenger year aer lingus also provides cargo transportation service continental europe usa aer lingus airline partner include united airline,3
Aes Ballylumford,,,,Energy,"Aes Ballylumford is the company which owns and operates the electricity generation plant on Islandmagee, Co Antrim.The power plant was purchased by the Aes Corporation for £102 million in August 2010.","€150,900,000","€27,700,000",159,Ballylumford  Larne  Co Antrim.  BT40 3RS,http://www.top1000.ie/aes-ballylumford,"54.84561,-5.78083",,,,http://www.aes.com/,,aes ballylumford company owns operates electricity generation plant islandmagee antrimthe power plant purchased aes corporation million august,3
Afilias,,,,Business Technology,Afilias is a provides registration services for internet domains. The company has its headquarters in Dublin and has offices in London and Vancouver. The company is the registry operator for the .info domains and also provides services to operators of generic and country code top level domains. It has an agreement with the .org registry operator to provide services to mange the .org domains.,"€56,300,000","€20,200,000",199,2 La Touche House  IFSC  Dublin 1,http://www.top1000.ie/afilias,"53.347946,-6.243826",http://www.top1000.ie/images/logo/afilias,,,http://www.afilias.info/,@Afilias,afilias provides registration service internet domain company headquarters dublin office london vancouver company registry operator info domain also provides service operator generic country code top level domain agreement org registry operator provide service mange org domain,2
