Company,"Know to use the ""Double Irish Arrangement""?",Discloses Likely Tax Payments from Repatriation,Citizen for Tax Justice ID,Category,Description,Turnover,Profit,Employees,Address,Profile on Irish Times,Coordinates,Image,Sources,Sources Link,Homepage,Twitter,clean_text,Cluster
Chanelle Provet,,,,Health,"The Chanelle group of companies has a presence in 80 countries operating in the fields of product development, manufacturing and distribution of veterinary pharmaceuticals. It has over 700 products registered worldwide and employs over 220 staff. Chanelle Provet was launched in 1991 – a joint venture distribution company with 107 veterinary surgeons, selling pharmaceuticals and related equipment exclusively to veterinary surgeons in the Republic of Ireland.","€20,700,000","€200,000",18,IDA Industrial Estate  Dublin Road  Loughrea  Co Galway.,http://www.top1000.ie/chanelle-provet,"53.202144,-8.552821",,,,http://www.chanelleveterinary.com/,,chanelle group company presence country operating field product development manufacturing distribution veterinary pharmaceutical product registered worldwide employ staff chanelle provet launched joint venture distribution company veterinary surgeon selling pharmaceutical related equipment exclusively veterinary surgeon republic ireland,0
Charles Hurst Group,,,,Transport,"Charles Hurst is a new and used car dealers group that was founded in 1911 and has become Northern Ireland’s leading motor group with over 700 employees. The company represents some of the world’s leading new and used car sales and motorcycle manufacturers, including Yamaha and BMW. The group, which is a trading subsidiary of Lookers plc also trades in the west of Scotland under the ‘Taggarts’ brand name. It expanded into the Republic of Ireland with the acquisition of the Audi Centre in Ballsbridge, Dublin in 2011.","€419,500,000","€5,600,000",879,Boucher Road  Balmoral  Belfast.  BT12 6LR,http://www.top1000.ie/charles-hurst-group,"54.578917,-5.962148",http://www.top1000.ie/images/logo/charles-hurst-group,,,http://www.charleshurstgroup.co.uk/,@hurstrenault,charles hurst new used car dealer group founded become northern ireland leading motor group employee company represents world leading new used car sale motorcycle manufacturer including yamaha bmw group trading subsidiary looker plc also trade west scotland taggarts brand name expanded republic ireland acquisition audi centre ballsbridge dublin,3
Charles R Wynne Foods,,,,Agribusiness,"The principal activity of the company is that of animal feed manufacturers, and grain and agricultural merchants. The company has locations at Moone, Athy, Co Kildare and Tullow, Co Carlow.","€31,000,000","€1,400,000",36,Charles R. Wynne Foods  Moone  Athy  Co Kildare,http://www.top1000.ie/charles-r-wynne-foods,"52.991834,-6.985728",,,,,,principal activity company animal feed manufacturer grain agricultural merchant company location moone athy kildare tullow carlow,3
Charles River,,,,Pharma,,"€18,500,000",,154,Carrentrila  Ballina  Co Mayo,http://www.top1000.ie/charles-river,"54.114948,-9.155069",http://www.top1000.ie/images/logo/charles-river,,,http://www.criver.com/,@CRiverLabs,,3
Chesapeake,,,,Pharma,"Formerly known as Field Boxmore, Chesapeake is a producer of consumer packaging, specialising in the design, manufacture and sale of printed cartons, composite containers, printed labels, printed leaflets and packaging machinery systems.It has pharmaceutical packing operations in Westport, Limerick, Dublin and Belfast, as well as a plastic packaging operation in Ballyconnell, Co Cavan. The contact details given here are for the the Dublin operation. Contacts for the other operations are on the company website.There is no Irish parent company and the holding company for the Irish operations is Chesapeake Holdings Sarl based in Luxembourg. The business is headquartered in Nottingham in the UK. Its controlling parties are US private equity funds, Oaktree Capital and Irving Place CapitalIrish figures are not disclosed and are estimated here on the basis of Irish employees and the note in Chesapeake Holdings accounts about Irish tax","€60,000,000",,593,Fonthill Business Park  Fonthill Rd  Dublin 22,http://www.top1000.ie/chesapeake,"53.350142,-6.40849",,,,http://www.chesapeakecorp.com/,,formerly known field boxmore chesapeake producer consumer packaging specialising design manufacture sale printed carton composite container printed label printed leaflet packaging machinery systemsit pharmaceutical packing operation westport limerick dublin belfast well plastic packaging operation ballyconnell cavan contact detail given dublin operation contact operation company websitethere irish parent company holding company irish operation chesapeake holding sarl based luxembourg business headquartered nottingham controlling party private equity fund oaktree capital irving place capitalirish figure disclosed estimated basis irish employee note chesapeake holding account irish tax,0
Cheshire Ireland,,,,Health,"Cheshire Ireland is a not-for-profit organisation and registered charity which provides a range of supported accommodation, respite and other services to adults with neurological conditions and physical disabilities. It provides a range of support services for people with disabilities and is committed to empowering people to live independently.","€27,900,000","-€700,000",476,Block 4  Bracken Business Park  Bracken Road  Sandyford Industrial Estate  Dublin 18,http://www.top1000.ie/cheshire-ireland,"53.274717,-6.217527",,,,http://www.cheshire.ie/,,cheshire ireland notforprofit organisation registered charity provides range supported accommodation respite service adult neurological condition physical disability provides range support service people disability committed empowering people live independently,2
Chubb Ireland Limited,,,,Professional Services Consultancy,"Chubb is a provider of security and fire safety solutions for businesses and industry nationwide. Each year it provides more than 12 million personnel hours of security, performs 150,000 security systems site inspections and services over 4 million fire extinguishers.","€26,500,000","-€2,500,000",210,Unit 2 Stillorgan Industrial Park  Blackrock,http://www.top1000.ie/chubb-ireland-limited,"53.272897,-6.205333",,,,http://www.chubb.ie/,,chubb provider security fire safety solution business industry nationwide year provides million personnel hour security performs security system site inspection service million fire extinguisher,2
Cineflix,,,,Communications,"The principal activity of the Cineflix International Media Limited is the distribution of non-fiction programmes, principally produced by the company's parent. Cineflix Rights distributes content from international producers, new producers and from its own producers at Cineflix Media who specialise in scripted and unscripted TV series.Its portfolio includes 2800 active hours of multi-genre properties including Factual, Factual Entertainment, Formats, Children’s, and Scripted series with more than 700 hours of fresh content added each year.","€72,100,000","-€3,400,000",53,Cineflix International Media Ltd.  28 Denzille Lane  Dublin 2  Ireland,http://www.top1000.ie/cineflix,"53.340593,-6.24664",,,,http://www.cineflixrights.com/,,principal activity cineflix international medium limited distribution nonfiction programme principally produced company parent cineflix right distributes content international producer new producer producer cineflix medium specialise scripted unscripted seriesits portfolio includes active hour multigenre property including factual factual entertainment format childrens scripted series hour fresh content added year,3
Circle Oil,,,,Resources,"Circle Oil Plc (AIM: COP), is an Irish incorporated Middle East and Africa focused oil and gas exploration and production company with a portfolio of assets in Morocco, Tunisia, Oman and Egypt.","€54,100,000","€18,700,000",21,Circle Oil Plc  2 New Wellington Terrace  O'Connell Avenue  Limerick City  Co Limerick,http://www.top1000.ie/circle-oil,"52.653314,-8.635405",,,,http://www.circleoil.net/,,circle oil plc aim cop irish incorporated middle east africa focused oil gas exploration production company portfolio asset morocco tunisia oman egypt,3
Cisco,,No,Cisco Systems,Technology,"Cisco Systems is a worldwide leader in networking that transforms how people connect, communicate and collaborate online. In Ireland, it operates several businesses, including Software development in Oranmore, Co Galway. It also has a sales team in Dublin and a financial services business.","€75,000,000",,290,Block P6  Eastpoint Business Park  Dublin 3,http://www.top1000.ie/cisco,"53.35678,-6.22615",http://www.top1000.ie/images/logo/cisco,Citizen For Tax Justice 2013,http://ctj.org/pdf/applenotalone.pdf,http://www.cisco.com/web/IRE/index.html,@ciscoUKI,cisco system worldwide leader networking transforms people connect communicate collaborate online ireland operates several business including software development oranmore galway also sale team dublin financial service business,2
