cattle-id,price,age,color,breed,weight,clean_text,cluster,cluster_name
BLF1050,102000,2.5 years,Non Red,Local,250 kg,blf,0,blf / blfs / blfh
BLF1102,92000,2.5 years,Red,Local,223 kg,blf,0,blf / blfs / blfh
BLF997,108000,2.5 years,Red,Local,260 kg,blf,0,blf / blfs / blfh
BLF1158,68000,2.5 years,Red,Local,161 kg,blf,0,blf / blfs / blfh
BLF1337,78000,3 years,Red,Local,187 kg,blf,0,blf / blfs / blfh
BLF987,109000,2.5 years,Non Red,Local,268 kg,blf,0,blf / blfs / blfh
BLF1065,126000,2.5 years,Red,Local,305 kg,blf,0,blf / blfs / blfh
BLF1060,97000,2.5 years,Red,Local,235 kg,blf,0,blf / blfs / blfh
BLF1297,98000,3 years,Red,Local,238 kg,blf,0,blf / blfs / blfh
BLF1295,80000,3 years,Red,Local,191 kg,blf,0,blf / blfs / blfh
BLF1165,107000,2.5 years,Non Red,Local,265 kg,blf,0,blf / blfs / blfh
BLFS1,152000,2 years,Non Red,Holstein Friesian Cross,381 kg,blfs,1,blfs / blfh / blfb
BLF981,92000,2.5 years,Non Red,Local,226 kg,blf,0,blf / blfs / blfh
BLF1182,104000,2.5 years,Non Red,Local,257 kg,blf,0,blf / blfs / blfh
BLF1090,110000,2.5 years,Red,Local,264 kg,blf,0,blf / blfs / blfh
BLF1008,112000,2.5 years,Non Red,Holstein Friesian Cross,280 kg,blf,0,blf / blfs / blfh
BLF871,127000,2.5 years,Red,Sahiwal,297 kg,blf,0,blf / blfs / blfh
BLF1055,105000,2.5 years,Red,Sahiwal,255 kg,blf,0,blf / blfs / blfh
BLF1227,109000,2.5 years,Red,Local,264 kg,blf,0,blf / blfs / blfh
BLF1070,107000,2.5 years,Red,Local,258 kg,blf,0,blf / blfs / blfh
BLF999,122000,2.5 years,Red,Local,294 kg,blf,0,blf / blfs / blfh
BLF1251,109000,2.5 years,Red,Local,263 kg,blf,0,blf / blfs / blfh
BLF1154,115000,2.5 years,Red,Sindhi,277 kg,blf,0,blf / blfs / blfh
BLF1170,95000,3 years,Non Red,Local,236 kg,blf,0,blf / blfs / blfh
BLF1068,124000,2.5 years,Red,Local,300 kg,blf,0,blf / blfs / blfh
BLF1108,100000,3 years,Red,Local,241 kg,blf,0,blf / blfs / blfh
BLF953,149000,3 years,Non Red,Local,368 kg,blf,0,blf / blfs / blfh
BLF1163,80000,3 years,Non Red,Local,195 kg,blf,0,blf / blfs / blfh
BLF1073,87000,3 years,Red,Local,210 kg,blf,0,blf / blfs / blfh
BLF1162,83000,2.5 years,Red,Local,200 kg,blf,0,blf / blfs / blfh
BLF1100,102000,3 years,Red,Local,244 kg,blf,0,blf / blfs / blfh
BLF1233,99000,2.5 years,Non Red,Local,245 kg,blf,0,blf / blfs / blfh
BLF1039,79000,3 years,Red,Local,190 kg,blf,0,blf / blfs / blfh
BLFB379,342000,4 years,Non Red,Holstein Friesian Cross,760 kg,blfb,2,blfb / blfs / blfh
BLF1155,118000,3 years,Non Red,Local,292 kg,blf,0,blf / blfs / blfh
