cattle-id,price,age,color,breed,weight,clean_text,cluster,cluster_name
BLF1067,105000,3 years,Red,Local,254 kg,blf,0,blf / blfs / blfh
BLF1120,106000,2.5 years,Red,Local,255 kg,blf,0,blf / blfs / blfh
BLF897,90000,2.5 years,Non Red,Local,220 kg,blf,0,blf / blfs / blfh
BLF1307,80000,2.5 years,Red,Local,191 kg,blf,0,blf / blfs / blfh
BLF1025,114000,2.5 years,Red,Local,274 kg,blf,0,blf / blfs / blfh
BLF1211,91000,3 years,Non Red,Local,225 kg,blf,0,blf / blfs / blfh
BLF1280,79000,2.5 years,Red,Local,191 kg,blf,0,blf / blfs / blfh
BLF1084,108000,2.5 years,Red,Sindhi,264 kg,blf,0,blf / blfs / blfh
BLF998,110000,3 years,Red,Local,266 kg,blf,0,blf / blfs / blfh
BLF1325,102000,2.5 years,Red,Sahiwal,247 kg,blf,0,blf / blfs / blfh
BLF1225,103000,3 years,Red,Sahiwal,250 kg,blf,0,blf / blfs / blfh
BLF875,92000,2.5 years,Red,Local,228 kg,blf,0,blf / blfs / blfh
BLF877,128000,3 years,Red,Sahiwal,316 kg,blf,0,blf / blfs / blfh
BLF1221,85000,2.5 years,Non Red,Local,208 kg,blf,0,blf / blfs / blfh
BLF1352,93000,2.5 years,Red,Local,225 kg,blf,0,blf / blfs / blfh
BLF1077,107000,3 years,Red,Local,258 kg,blf,0,blf / blfs / blfh
BLF926,119000,3 years,Non Red,Local,292 kg,blf,0,blf / blfs / blfh
BLF1036,91000,2.5 years,Non Red,Local,225 kg,blf,0,blf / blfs / blfh
BLF1260,89000,2.5 years,Red,Local,215 kg,blf,0,blf / blfs / blfh
BLF1119,91000,2.5 years,Red,Local,218 kg,blf,0,blf / blfs / blfh
