player,tournament id,Player_initial_last,player id,DK_Hole_FP,DK_Streak_Bonus_FP,FD_Hole_FP,FD_Streak_Bonus_FP,tournament name,season,final position,DK_Finish_FP,FD_Finish_FP,DK_Total_FP,FD_Total_FP,major,made_cut,course,date,Finish,Score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,place,Cluster
Aaron Baddeley,401056252,A. Baddeley,16,78.5,0,76.6,14.8,Safeway Open,2019,4.0,16,16,94.5,107.4,0,1,"Silverado - Napa, CA",2018-10-07,T4,-13,-0.2,0.67,2.42,-0.28,2.81,2.61,4,0
Aaron Baddeley,401056503,A. Baddeley,16,28.5,0,25.7,9.6,Sanderson Farms Championship,2019,,0,0,28.5,35.3,0,0,"Country Club of Jackson - Jackson, MS",2018-10-28,CUT,E,0.23,0.15,-1.28,0.61,-0.52,-0.29,-,0
Aaron Baddeley,401056506,A. Baddeley,16,72.0,6,66.8,20.4,The RSM Classic,2019,59.0,0,0,78.0,87.2,0,1,"Sea Island - Sea Island, GA",2018-11-18,T59,-7,-1.0,-0.09,0.05,-0.21,-0.25,-1.26,59,0
Aaron Baddeley,401056511,A. Baddeley,16,87.5,6,84.1,17.2,Desert Classic,2019,18.0,5,4,98.5,105.3,0,1,"La Quinta CC - La Quinta, CA",2019-01-20,T18,-16,2.74,0.5,-0.47,0.8,0.83,3.57,18,0
Aaron Baddeley,401056513,A. Baddeley,16,24.5,0,19.6,15.6,Waste Management Phoenix Open,2019,,0,0,24.5,35.2,0,0,"TPC Scottsdale - Scottsdale, AZ",2019-02-03,CUT,4,1.02,-0.48,-0.7,-2.35,-3.52,-2.5,-,0
Aaron Baddeley,401056514,A. Baddeley,16,37.0,0,32.7,5.6,AT&T Pebble Beach Pro-Am,2019,,0,0,37.0,38.3,0,0,"Spyglass Hill - Pebble Beach, CA",2019-02-11,CUT,1,-2.17,0.28,1.7,0.15,2.13,-0.04,-,0
Aaron Baddeley,401056515,A. Baddeley,16,60.0,3,53.5,15.4,Genesis Open,2019,49.0,1,0,64.0,68.9,0,1,"Riviera - Pacific Palisades, CA",2019-02-14,T49,E,1.06,0.49,-1.45,0.18,-0.78,0.28,49,0
Aaron Baddeley,401056517,A. Baddeley,16,73.5,6,72.7,15.4,Puerto Rico Open,2019,2.0,20,20,99.5,108.1,0,1,"Coco Beach - Rio Grande, Puero Rico",2019-02-24,,,,,,,,,2,0
Aaron Baddeley,401056521,A. Baddeley,16,65.5,3,60.6,15.8,Arnold Palmer Invitational Pres. by Mastercard,2019,17.0,5,4,73.5,80.4,0,1,"Bay Hill - Orlando, FL",2019-03-10,T17,-5,0.69,2.49,-0.61,-0.99,0.89,1.57,17,0
Aaron Baddeley,401056522,A. Baddeley,16,28.0,0,21.3,10.6,The Players Championship,2019,,0,0,28.0,31.9,0,0,"TPC Sawgrass - Ponte Vedra Beach, FL",2019-03-17,CUT,4,0.18,0.43,-1.76,-1.27,-2.6,-2.42,-,0
Aaron Baddeley,401056525,A. Baddeley,16,80.0,3,79.0,31.8,Corales Puntacana Resort & Club Championship,2019,7.0,10,10,93.0,120.8,0,1,"Corales Puntacana GC - Punta Cana, Dominican Republic",2019-03-31,,,,,,,,,7,0
Aaron Baddeley,401056526,A. Baddeley,16,68.5,3,65.2,34.2,Valero Texas Open,2019,30.0,3,2,74.5,101.4,0,1,"TPC San Antonio - San Antonio, TX",2019-04-07,T30,-7,0.0,-0.08,1.06,-0.1,0.89,0.88,30,0
Aaron Baddeley,401056528,A. Baddeley,16,31.5,3,25.4,10.2,RBC Heritage,2019,,0,0,34.5,35.6,0,0,"Harbour Town - Hilton Head, SC",2019-04-21,CUT,2,1.42,-1.01,-0.18,-1.16,-2.36,-0.93,-,0
Aaron Baddeley,401056549,A. Baddeley,16,26.5,0,22.7,5.0,Travelers Championship,2019,,0,0,26.5,27.7,0,0,"TPC River Highlands - Cromwell, CT",2019-06-23,CUT,2,0.22,-0.05,-0.8,-0.88,-1.74,-1.52,-,0
Aaron Baddeley,401056553,A. Baddeley,16,50.5,0,42.6,10.8,Charles Schwab Challenge,2019,48.0,1,0,51.5,53.4,0,1,"Colonial - Ft. Worth, TX",2019-05-26,T48,3,1.38,0.33,-0.31,-1.33,-1.31,0.08,48,0
Aaron Baddeley,401056554,A. Baddeley,16,60.5,6,57.8,7.1,The Memorial Tournament pres. by Nationwide,2019,22.0,4,3,70.5,67.9,0,1,"Muirfield Village - Dublin, OH",2019-06-02,T22,-5,2.04,0.8,-1.39,-0.15,-0.74,1.31,22,0
Aaron Baddeley,401056556,A. Baddeley,16,31.5,0,24.2,15.6,U.S. Open,2019,,0,0,31.5,39.8,1,0,"Pebble Beach - Pebble Beach, CA",2019-06-16,CUT,5,0.58,0.78,-2.41,0.17,-1.46,-0.87,-,0
Aaron Baddeley,401148235,A. Baddeley,16,65.5,0,63.0,10.6,Safeway Open,2020,33.0,2,1,67.5,74.6,0,1,"Silverado - Napa, CA",2019-09-29,T33,-7,0.31,0.89,0.33,-0.64,0.58,0.89,33,0
Aaron Baddeley,401148236,A. Baddeley,16,86.0,3,82.1,21.8,Shriners Hospital for Children Open,2020,37.0,2,1,91.0,104.9,0,1,"TPC Summerlin - Las Vegas, NV",2019-10-06,T37,-13,0.03,0.66,0.45,-0.12,0.99,1.02,37,0
Aaron Baddeley,401148237,A. Baddeley,16,23.5,0,18.0,0.6,Houston Open,2020,,0,0,23.5,18.6,0,0,"Golf Club of Houston - Houston, TX",2019-10-13,CUT,3,-0.14,0.03,-0.02,-0.97,-0.96,-1.1,-,0
Aaron Baddeley,401148242,A. Baddeley,16,76.5,3,70.1,36.0,Mayakoba Golf Classic,2020,26.0,3,2,82.5,108.1,0,1,"El Camaleon - Playa del Carmen, Mexico",2019-11-18,,,,,,,,,26,0
Aaron Baddeley,401148243,A. Baddeley,16,38.0,0,32.8,14.6,The RSM Classic,2020,,0,0,38.0,47.4,0,0,"Sea Island - Sea Island, GA",2019-11-24,CUT,-2,0.08,-0.15,-1.3,-2.23,-3.67,-3.59,-,0
