Date,Close,High,Low,Open,Volume
1/3/2000,2.286957264,2.289856347,2.156522606,2.214493644,24232000
1/4/2000,2.214493513,2.307247168,2.202899306,2.231885177,21564800
1/5/2000,2.24347806,2.284057406,2.19710126,2.22028966,28206400
1/6/2000,2.324639082,2.376812665,2.226087959,2.226087959,30825600
1/7/2000,2.313044071,2.318840819,2.249275595,2.295652411,26044800
1/10/2000,2.411594629,2.481159859,2.394203676,2.400000424,29031200
1/11/2000,2.342029333,2.417392017,2.336232585,2.405797812,19623200
1/12/2000,2.347827196,2.388406565,2.295652912,2.353623946,17745600
1/13/2000,2.515942335,2.527536539,2.353623475,2.353623475,21556000
1/14/2000,2.452174902,2.556522755,2.440580696,2.521740137,22196800
1/18/2000,2.417391777,2.469565339,2.347826556,2.428985981,10513600
1/19/2000,2.365217686,2.469565525,2.359420937,2.417391959,15800800
1/20/2000,2.324639082,2.388406873,2.278262249,2.371015914,18167200
1/21/2000,2.315942764,2.353623756,2.295652727,2.347827007,11176000
1/24/2000,2.278262377,2.371016047,2.144928622,2.318841754,31140000
1/25/2000,2.411594629,2.504348269,2.208696397,2.255073216,47650400
1/26/2000,2.689855337,2.724637949,2.481159664,2.498551324,75863200
1/27/2000,2.67826128,2.701449689,2.626087713,2.67826128,37517600
1/28/2000,2.765217781,2.80000039,2.68405836,2.689855107,60170400
1/31/2000,2.968116283,2.968116283,2.771014811,2.776812267,51054400
2/1/2000,2.997101784,3.002898531,2.915942364,2.944927517,30592000
2/2/2000,2.950725317,3.014493086,2.863768432,2.991304678,20413600
2/3/2000,2.915943623,2.968117204,2.817392502,2.956522996,20513600
2/4/2000,3.188406706,3.223189324,2.921739963,3.014493613,51308800
2/7/2000,3.176813126,3.200001543,3.095653666,3.182610584,19449600
2/8/2000,3.246376276,3.246376276,3.159420122,3.17681107,21536000
2/9/2000,3.200000286,3.234782898,3.159420926,3.22898615,17676000
2/10/2000,2.968116283,3.217392028,2.927536922,3.200000368,24207200
2/11/2000,3.049274445,3.107245442,2.956520849,2.956520849,19193600
2/14/2000,3.147826433,3.228985853,3.049275355,3.095652166,20843200
2/15/2000,3.211593628,3.23478203,3.002898013,3.147825877,16425600
2/16/2000,3.171014786,3.217391596,3.165217331,3.211594141,16617600
2/17/2000,3.211593628,3.223187829,3.153622624,3.188405226,11840800
2/18/2000,3.072463989,3.246377045,3.014492971,3.205797686,17745600
2/22/2000,3.078261852,3.124638673,2.997102415,3.049275985,13170400
2/23/2000,3.234783649,3.252175313,3.037682137,3.055073801,18372800
2/24/2000,3.252173424,3.356521223,3.124637225,3.23478177,24721600
2/25/2000,3.130434752,3.246376779,3.107246346,3.228985829,9384000
2/28/2000,3.159421444,3.165218193,3.037681929,3.107247164,13456000
2/29/2000,3.257972479,3.286958353,3.118841982,3.13043619,13168000
3/1/2000,3.223187923,3.321738987,3.199999521,3.257970527,10548000
3/2/2000,3.084058046,3.205797534,3.02608703,3.205797534,13367200
3/3/2000,3.449275255,3.501448807,3.118840163,3.118840163,28210400
3/6/2000,3.32753706,3.426088163,3.310146105,3.424638179,11278400
3/7/2000,3.165217638,3.350724899,3.153623434,3.333333947,12872000
3/8/2000,3.142029524,3.223188958,3.072464295,3.159421185,15707200
3/9/2000,3.350724936,3.362319139,3.060869837,3.130435061,13624800
3/10/2000,3.30434823,3.339130843,3.211594596,3.310145686,9488000
3/13/2000,3.223187923,3.29275313,3.176811119,3.205796976,14124800
3/14/2000,3.101449966,3.286957233,3.095652511,3.244927889,9474400
