symbol,name,sector,price,price/earnings,dividend_yield,earnings/share,52_week_low,52_week_high,market_cap,ebitda,price/sales,price/book,sec_filings,combined_text,cluster
BBY,Best Buy,Computer & Electronics Retail,90.27,15.019965,0.0425,6.01,55.1,91.27,18932117504.0,2617999872.0,0.44861773,5.9670806,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBY,BBY Best Buy Computer & Electronics Retail http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBY,1
TECH,Bio-Techne,Life Sciences Tools & Services,72.43,62.43966,0.0044,1.16,43.2,72.62,11358345216.0,334105984.0,9.348132,5.362802,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TECH,TECH Bio-Techne Life Sciences Tools & Services http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TECH,1
BIIB,Biogen,Biotechnology,220.83,39.2238,0.0187,5.63,135.39,225.8,32628516864.0,3359200000.0,3.2537737,1.730507,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BIIB,BIIB Biogen Biotechnology http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BIIB,1
BLK,BlackRock,Asset Management & Custody Banks,1122.29,26.881199,0.0204,41.75,917.39,1219.94,182345416704.0,11116000256.0,6.679564,3.0193112,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLK,BLK BlackRock Asset Management & Custody Banks http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLK,0
BX,Blackstone Inc.,Asset Management & Custody Banks,136.15,30.458612,0.0384,4.47,101.73,190.09,162739781632.0,3452700032.0,10.51066,12.081817,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BX,BX Blackstone Inc. Asset Management & Custody Banks http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BX,1
BK,BNY Mellon,Asset Management & Custody Banks,140.86,23.8595715,0.0187,5.68,104.475,169.3,40598407168.0,3452700032.0,3.19939425,3.1623663,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BK,BK BNY Mellon Asset Management & Custody Banks http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BK,1
BA,Boeing,Aerospace & Defense,212.25,76.34892,0.0187,2.78,176.77,254.35,167633453056.0,-2900000000.0,1.7834295,27.507776,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA,BA Boeing Aerospace & Defense http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA,1
BKNG,Booking Holdings,"Hotels, Resorts & Cruise Lines",193.29,21.45283,0.0087,9.01,150.14,225.54,149776252928.0,10412999680.0,5.303504,-13.587093,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BKNG,"BKNG Booking Holdings Hotels, Resorts & Cruise Lines http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BKNG",1
BWA,BorgWarner,Automotive Parts & Equipment,67.54,33.270935,0.0101,2.03,40.5,78.82,13755625472.0,2036000000.0,0.95898116,2.44719,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA,BWA BorgWarner Automotive Parts & Equipment http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA,1
BSX,Boston Scientific,Health Care Equipment,47.8,19.352226,0.0187,2.47,42.2,109.5,69273174016.0,5711000064.0,3.299351,2.7739089,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX,BSX Boston Scientific Health Care Equipment http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX,1
BMY,Bristol Myers Squibb,Pharmaceuticals,66.82,14.718061,0.0377,4.54,42.52,68.64,136494186496.0,18929999872.0,2.7750616,6.116247,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY,BMY Bristol Myers Squibb Pharmaceuticals http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY,1
