name,site_url_2,icon_url_3,platform_names,google_play_url,app_store_url,screen_urls,Description,category_names,price,language_names,icon_url_2,facebook_username_2,twitter_username_2,site_url_1,icon_url_1,facebook_username_1,twitter_username_1,clean_text,cluster,cluster_name
Election Game 2012,https://play.google.com/store/apps/details?id=com.lunagames.electionfree&feature=search_result,,Android,https://play.google.com/store/apps/details?id=com.lunagames.electionfree&feature=search_result,," ,  ,  ,  ,  , https://lh5.ggpht.com/T0xwQl7cYlJhEQHd43RvDab9hjrqPsS1Xm1D83hzxsuyPt8-OixmxWFvkvhrn1zdkkG1=w124,  ,  ,  ,  ,  , https://lh6.ggpht.com/N7NzKmplrGTYmzGiEn1bNNdIHALzqY2khVBDitNgUYWAtN0F4IyD-MXJ37MaZ4D8pA=h230,  https://lh6.ggpht.com/iL5qqGKYSTLALmdSbS5Nmgo6TjlZg8IsuLr5LT8OFop-Xm6tVUJ8gbZAb0VXEqAN45S0=h230,  https://lh4.ggpht.com/-hZb2vbpS_ann6QrpuA2XgcjAQq7PVtnfXZOFVgEmaeNx2FMPpFAQQR5LDVBBpk9Zw=h230,  https://lh3.ggpht.com/elyip1qcfEqfr56GCpvohBFhhL3A_AlO2Svn4EK9tcs6kg9ZDq_6wmAoEGlYPti1fg=h230,  https://lh5.ggpht.com/cnro9ZXskGfzyaWdNf8Bu7G8YfBt5-i3kcDS5doMYTIa5GfYsoibNRErYA8atYYqGw=h230,  ,  ,  ,  ,  ",Election Game 2012: Race for the White House! This comedy packed strategy game for Android phones and tablets puts you in the political hot seat. Manage your election campaign; a game of risk and high rewards.,"Education, Governance",0.0,English,,,,http://www.election-game.com/,https://lh4.ggpht.com/Yhmnp-XWb5TkCotLagr3yjBD2Ldt511psS6su7jOIlPVCzWNoE5aOy18nwkNCb_nGu71=w705, ,lunagamesmobile,election game,3,"Cluster 3 - game, election, warning"
GetH2O Game,www.getH2Ogame.com,,Web,,," ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , http://i.imgur.com/gmkOXCv.jpg,  ","GetH2O Mtaani is a serious game, which simulates the complexity of life in an informal settlement, focusing on the scarcity of resources, especially that of water and housing. Players learn how to manage resources, invest in the community and prevent escalation of conﬂict.","Education, Activism, Environment",0.0,,http://www.geth2ogame.com/w/templates/geth20game/images/logo_gethh20.png,,GETH2Ogame, , ,GetH20Game,,geth game,3,"Cluster 3 - game, election, warning"
The Redistricting Game,http://www.redistrictinggame.org,,Web,,," ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , http://i.imgur.com/sCBaKSR.jpg,  ","The Redistricting Game is designed to educate, engage, and empower citizens around the issue of political redistricting. Currently, the political system in most states allows the state legislators themselves to draw the lines. This system is subject to a wide range of abuses and manipulations that encourage incumbents to draw districts which protect their seats rather than risk an open contest.  ","Governance, Education",,,,,, ,http://www.redistrictinggame.org/graphics/shell_redist_logo.gif, ,,redistricting game,3,"Cluster 3 - game, election, warning"
