Name,CreatorType,Score,Number,combined_text,clean_text,cluster,PCA1,PCA2
Todd Klein/Jared K. Fletcher/Sal Cipriano,Letters,4.4,1,Todd Klein/Jared K. Fletcher/Sal Cipriano Letters,todd klein jared fletcher sal cipriano letters,4,-0.006208361465906468,-0.21400844759712312
Ed Brubaker,Script,3.93,1,Ed Brubaker Script,brubaker script,3,-0.6572535549295021,0.5951931420664208
Tim Sale/Doug Mahnke/Patrick Zircher,Pencils,3.93,1,Tim Sale/Doug Mahnke/Patrick Zircher Pencils,tim sale doug mahnke patrick zircher pencils,7,-0.0518011315631691,-0.20558062860247395
David Baron,Colors,3.93,1,David Baron Colors,david baron colors,2,0.34507148478551875,0.16700348030269196
Bernie Wrightson,Inks,3.6,1,Bernie Wrightson Inks,bernie wrightson inks,0,-0.018877743194166255,-0.21532592775828596
Dennis O'Neil,Script,2.82,3,Dennis O'Neil Script,dennis neil script,3,-0.6572535549295021,0.5951931420664208
Doug Moench,Script,2.82,2,Doug Moench Script,doug moench script,3,-0.41609490691854456,0.32795745537247334
Brian Augustyn,Script,2.5,1,Brian Augustyn Script,brian augustyn script,3,-0.4576635131638626,0.34014238003065694
John Workman,Letters,2.5,1,John Workman Letters,john workman letters,4,0.026204179307272663,-0.21344554365210194
Jared K. Fletcher/John Workman,Letters,1.91,1,Jared K. Fletcher/John Workman Letters,jared fletcher john workman letters,4,0.01920542984489183,-0.20972766211297317
Ken Lopez,Letters,1.84,2,Ken Lopez Letters,ken lopez letters,4,-0.0036458895704992375,-0.3439564476085954
