name,site_url_2,icon_url_3,platform_names,google_play_url,app_store_url,screen_urls,Description,category_names,price,language_names,icon_url_2,facebook_username_2,twitter_username_2,site_url_1,icon_url_1,facebook_username_1,twitter_username_1,clean_text,cluster,cluster_name
Google Voice/Mobile Voices Project,http://vozmob.net/es,,Web,,," ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , http://i.imgur.com/Hh1mXgT.jpg,  ","Voicemail-to-email services such as Google Voice can be an easy and cheap way to set up a leave-a-message hotline. The Mobile Voices project, recently profiled on MobileActive.org, has a voicemail-to-email service where citizen reporters can call in and upload audio stories. They used Gizmo5's call-in number service ($12 for 3 months) to get a local number. Gizmo5 has since been acquired by Google, which provides this service free through Google Voice. Unfortunately, this new solution is missing the direct voicemail-to-email forwarding service that used to be available though Gizmo, but there are unofficial Google Voice APIs for python and java that could be used to recreate this. Google Voice isn't yet available outside the US, but service providers in many countries offer inexpensive local call-in numbers.",Activism,,,,,, ,http://vozmob.net/sites/default/files/imagecache/feature/image/2292/curriculo.png,vozmob,vozmob,google voicemobile voice project,8,"Cluster 8 - voice, change, google"
Raise Your Voice,https://www.raiseyourvoice.us/,,Web,,," ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , http://i.imgur.com/Fk1Km7v.png,  ","Our web tool, embeddable in online news sites, blogs, and advocacy pages, connects citizens, politicians, and interest groups to further political activism and the democratic process.  We believe that people are most inspired to political action when reading or watching the news. (Who doesn't grumble at the TV or newspaper once in a while?). To capture these moments of inspiration, we created a web based tool that allows people to easily write to their elected officials and connect with like minded organizations.","Activism, Governance",0.0,English,,,RYVoice, ,,pages/Raise-Your-Voice/118352894859453,,raise voice,8,"Cluster 8 - voice, change, google"
Voice of Real Change,http://www.mdc.co.zw/index.php?option=com_content&view=article&id=405:mdc-launches-voice-of-real-change&catid=42:rokstories&utm_medium=newZimSituation&utm_source=newzimsituation.com,,Web,,," ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , http://i.imgur.com/adnswGq.png,  ","The MDC’s Information and Publicity department this week launched The Voice of Real Change, an audio service that will give the people of Zimbabwe a new and exciting platform to know what is happening in the country and in their party.     A first by any political party in the country and in the region,the MDC will provide an audio platform that will herald a new era in communication at a time when the socalled public broadcaster, the ZBC, has shamefully become a conveyor-belt of Zanu PF propaganda. Under the new communication platform, Zimbabweans will call a set of cellular phone numbers. The numbers will cut and the call-back facility will enable the radio system to call back to listeners who will then receive guidelines that will lead them to exciting options.  ",Governance,,,http://www.mdc.co.zw/images/stories/rokstories/voice_r_c.jpg,,, , ,zimbabwemdc,,voice real change,8,"Cluster 8 - voice, change, google"
Voices of Africa,http://www.voicesofafricamediafoundation.org/,,Web,,," ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , http://i.imgur.com/ha3V33H.jpg","Mobile reporting implies using the mobile phone as a powerful reporting tool to capture, edit and uploads text, photo and video content!",Activism,,,,,, ,http://www.africanews.com/documents/78/0c/780cfe46d2d01d84ecbe5763b0a9b62e.jpg, ,VoicesOfAfrica,voice africa,8,"Cluster 8 - voice, change, google"
