open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,return_4h,log_return,volatility_24h,volatility_7d,price_range,body_size,momentum_24h,momentum_7d,sma_24h,sma_7d,price_vs_sma_7d,volume_change,volume_sma_7d,relative_volume
2018-01-01 00:00:00,13715.65,13715.65,13155.38,13410.03,1676.204807,2018-01-01 03:59:59.999000 ,22516071.8670072,19438,739.518666,9937536.51382895,0,,,,,0.04177992144685735,-0.022282575014672946,,,,,,,,
2018-01-01 04:00:00,13434.98,13818.55,13322.15,13570.35,1302.214836,2018-01-01 07:59:59.999000 ,17702535.7245881,18061,588.516222,7998795.56202577,0,0.011955230525211302,0.011884331275266287,,,0.03657974923270215,0.010075936101133073,,,,,,-0.22311710922089012,,
2018-01-01 08:00:00,13569.98,13735.24,13001.13,13220.56,1319.755931,2018-01-01 11:59:59.999000 ,17651208.1967355,17200,582.668293,7792108.89944124,0,-0.025776048517540118,-0.0261140721159239,,,0.055527905020664826,-0.02574948526084785,,,,,,0.013470200549918987,,
2018-01-01 12:00:00,13220.56,13330.0,12750.0,13247.0,1831.933153,2018-01-01 15:59:59.999000 ,23912591.0419557,21357,830.314747,10833038.1125636,0,0.001999915283467546,0.001997918115231903,,,0.043783498150524645,0.001999915283467607,,,,,,0.38808480414398683,,
2018-01-01 16:00:00,13247.0,13290.65,12940.0,13240.37,1092.337234,2018-01-01 19:59:59.999000 ,14348870.6137744,13178,557.453779,7324319.56741969,0,-0.0005004906771344242,-0.0005006159643985225,,,0.026483398877825894,-0.0005004906771343852,,,,,,-0.40372429408181576,,
2018-01-01 20:00:00,13222.03,13599.7,13222.03,13380.0,1387.469883,2018-01-01 23:59:59.999000 ,18668469.9979097,16361,663.467239,8923948.78510119,0,0.010545777799260803,0.010490558962356344,,,0.028226457399103143,0.011947484614692248,,,13344.718333333332,,,0.2701845545622039,,
2018-01-02 00:00:00,13382.16,13850.0,13231.96,13353.78,2365.532926,2018-01-02 03:59:59.999000 ,32053629.3069507,28312,1101.550968,14922284.9992837,0,-0.0019596412556053266,-0.0019615638646906563,0.013596401230552268,,0.04628202651234339,-0.0021207338725586305,-0.004194621488542549,,13335.343333333332,,,0.7049256023382815,,
2018-01-02 04:00:00,13353.78,13480.84,12890.02,13343.0,2980.316053,2018-01-02 07:59:59.999000 ,39346268.5682158,22814,1662.863627,21968936.1269443,0,-0.000807262063625469,-0.0008075880751080963,0.01215728178338644,,0.044279397436858256,-0.0008072620636254794,-0.01675343672049734,,13297.451666666666,,,0.25989201851422483,,
2018-01-02 08:00:00,13343.01,13617.28,13302.59,13490.0,2596.182674,2018-01-02 11:59:59.999000 ,34930623.2910185,18513,1578.448489,21238250.0889734,0,0.011017012665817338,0.010956767459380946,0.00587673495913245,,0.023327650111193515,0.011016254952967867,0.020380377230616586,,13342.358333333332,,,-0.12889014861807335,,
2018-01-02 12:00:00,13490.0,13894.86,13450.46,13690.03,3365.879508,2018-01-02 15:59:59.999000 ,45967260.3688716,29401,2040.992086,27868676.9529551,0,0.014828020756115778,0.01471916045886183,0.007407299450049976,,0.032461579704354294,0.01482802075611569,0.033443798595908625,,13416.196666666665,,,0.2964725254922489,,
2018-01-02 16:00:00,13690.02,15473.49,13503.0,14732.75,5090.273483,2018-01-02 19:59:59.999000 ,72855897.717573,49057,2865.715043,40982962.1006656,0,0.07616637801378068,0.07340507619302139,0.029152299128537607,,0.13374896064889447,0.07616716410932925,0.11271437278565477,,13664.926666666666,,,0.5123160145517605,,
2018-01-02 20:00:00,14710.02,15160.31,14544.0,14675.11,3679.907467,2018-01-02 23:59:59.999000 ,54563428.1810897,29631,2096.756526,31098978.4144947,0,-0.003912372096180228,-0.003920045444424249,0.03048821980909174,,0.041996959477646124,-0.00237321227299486,0.09679446935724978,,13880.778333333335,,,-0.27707077443092265,,
2018-01-03 00:00:00,14690.0,15299.99,14660.0,14818.49,3303.83359,2018-01-03 03:59:59.999000 ,49173973.825483,27105,1891.844772,28156547.9617939,0,0.00977028451575479,0.009722863911014545,0.029474049088955775,,0.0431886109853298,0.00874676650782844,0.1096850479789242,,14124.896666666667,,,-0.10219655803100658,,
2018-01-03 04:00:00,14805.81,15307.56,14795.05,15170.0,3211.702067,2018-01-03 07:59:59.999000 ,48360266.6612255,27848,1929.483604,29055915.1722074,0,0.023721040402902016,0.02344406802230275,0.028035730009498182,,0.03378444297956495,0.024597776143284327,0.13692572884658616,,14429.396666666667,,,-0.027886248047983564,,
2018-01-03 08:00:00,15170.0,15172.99,14150.0,14730.05,4202.802942,2018-01-03 11:59:59.999000 ,61658918.8342373,37851,2336.728813,34321725.580486,0,-0.029001318391562392,-0.029430168458533485,0.035037533597680234,,0.06944918720574607,-0.029001318391562343,0.09192364714603407,,14636.071666666669,,,0.3085905399456219,,
2018-01-03 12:00:00,14764.73,15045.51,14400.04,15033.77,2082.734125,2018-01-03 15:59:59.999000 ,30797789.4948523,26696,1102.909141,16304128.1182218,0,0.02061907461278145,0.02040937907996523,0.03510288952564432,,0.04293467307268897,0.018221802904624797,0.09815464246608663,,14860.028333333334,,,-0.5044416419845554,,
