ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,text,clean_text,Cluster
111059,Gurpreet Singh,M,28.0,176.0,81.0,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",,"Gurpreet Singh M India IND 2016 Summer Summer Rio de Janeiro Shooting Shooting Men's Rapid-Fire Pistol, 25 metres ",gurpreet singh india ind summer summer rio de janeiro shooting shooting mens rapidfire pistol metres,0
111060,Gurtej Singh,M,24.0,181.0,92.0,India,IND,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Javelin Throw,,Gurtej Singh M India IND 1984 Summer Summer Los Angeles Athletics Athletics Men's Javelin Throw ,gurtej singh india ind summer summer los angeles athletics athletics mens javelin throw,1
111061,Hanuman Singh Rathore,M,30.0,176.0,68.0,India,IND,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Men's Basketball,,Hanuman Singh Rathore M India IND 1980 Summer Summer Moskva Basketball Basketball Men's Basketball ,hanuman singh rathore india ind summer summer moskva basketball basketball mens basketball,0
111062,Harbhajan Singh,M,30.0,196.0,74.0,India,IND,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Men's Basketball,,Harbhajan Singh M India IND 1980 Summer Summer Moskva Basketball Basketball Men's Basketball ,harbhajan singh india ind summer summer moskva basketball basketball mens basketball,0
111063,Harbinder Singh Chimni,M,21.0,174.0,60.0,India,IND,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Gold,Harbinder Singh Chimni M India IND 1964 Summer Summer Tokyo Hockey Hockey Men's Hockey Gold,harbinder singh chimni india ind summer summer tokyo hockey hockey mens hockey gold,2
111063,Harbinder Singh Chimni,M,25.0,174.0,60.0,India,IND,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Bronze,Harbinder Singh Chimni M India IND 1968 Summer Summer Mexico City Hockey Hockey Men's Hockey Bronze,harbinder singh chimni india ind summer summer mexico city hockey hockey mens hockey bronze,2
111063,Harbinder Singh Chimni,M,29.0,174.0,60.0,India,IND,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,Bronze,Harbinder Singh Chimni M India IND 1972 Summer Summer Munich Hockey Hockey Men's Hockey Bronze,harbinder singh chimni india ind summer summer munich hockey hockey mens hockey bronze,2
111064,Harcharan Singh,M,22.0,175.0,68.0,India,IND,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,Bronze,Harcharan Singh M India IND 1972 Summer Summer Munich Hockey Hockey Men's Hockey Bronze,harcharan singh india ind summer summer munich hockey hockey mens hockey bronze,2
111064,Harcharan Singh,M,26.0,175.0,68.0,India,IND,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,,Harcharan Singh M India IND 1976 Summer Summer Montreal Hockey Hockey Men's Hockey ,harcharan singh india ind summer summer montreal hockey hockey mens hockey,2
111065,Hardeep Singh,M,25.0,183.0,98.0,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",,"Hardeep Singh M India IND 2016 Summer Summer Rio de Janeiro Wrestling Wrestling Men's Heavyweight, Greco-Roman ",hardeep singh india ind summer summer rio de janeiro wrestling wrestling mens heavyweight grecoroman,0
