Year,Measure,Value,NLP_Text,Clean_Text
2018,"Total emissions due to deforestation (CO2e/yr, megatonnes)",17.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2019,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.29,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2019,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2020,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.24,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2020,"Total emissions due to deforestation (CO2e/yr, megatonnes)",17.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2021,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.17,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2021,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2022,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.13,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2022,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2023,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.13,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2023,"Total emissions due to deforestation (CO2e/yr, megatonnes)",17.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
